etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
ALDAIR,1,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1  16  76 ...   9   4   1]
 [  1  16  66 ...  79  26 165]
 [  1   5  45 ...  90  15   4]]","[383.0072021484375, 133.5228729248047, 2.7852180004119873]","[334.073486328125, 235.72015380859375, 0.28790557384490967]","[244.8414306640625, 204.0533905029297, 0.23365198075771332]","[349.9049987792969, 376.78125, 0.5173842310905457]","[161.3662872314453, 346.5538330078125, 0.7401988506317139]","[417.54864501953125, 476.0997009277344, 0.6214433908462524]","[93.72261047363281, 494.8118896484375, 1.171999454498291]","[300.9712829589844, 480.41790771484375, 0.1182716116309166]","[241.96298217773438, 491.93310546875, 0.14983204007148743]","[195.90774536132812, 712.1611328125, 0.3104528784751892]","[342.7088623046875, 692.009521484375, 0.5066781640052795]","[115.31102752685547, 906.4798583984375, 0.3061571419239044]","[374.3718566894531, 909.3587036132812, 0.3820762634277344]","[289.45745849609375, 219.88677978515625]","[271.4671325683594, 486.1755065917969]",[137.28720499322654],[93.86499946681867],[83.5963997407089],[55.742070246458475],[120.3612882568765],[114.52514305963825],[114.38772650347782],[112.52699088231267],[63.27305374588091],[81.71156977158472],[136.57779447359215],[244.05760021480077],[152.1456705057496],[100.8224713274786],[174.16385480276176],[305.42996025938777],[178.13926437883487],[74.31528750179086],[198.43851602570382]
ALDAIR,2,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [85  3 13 ...  0  0  0]
 [62 55 60 ...  0  0  0]
 [ 1  2  0 ...  0  0  0]]","[406.63446044921875, 136.5126190185547, 1.4873754978179932]","[354.81390380859375, 241.53550720214844, 0.24232438206672668]","[262.68841552734375, 209.88478088378906, 0.25214460492134094]","[372.08746337890625, 379.6477966308594, 0.6037431955337524]","[184.95751953125, 355.1903991699219, 0.8505784273147583]","[442.6210632324219, 476.03863525390625, 0.701026439666748]","[118.74231719970703, 496.17999267578125, 0.7932246923446655]","[321.706298828125, 487.5480041503906, 0.10807782411575317]","[269.8857116699219, 506.25067138671875, 0.15371498465538025]","[209.4283447265625, 711.98046875, 0.3049323856830597]","[359.1322937011719, 707.6644287109375, 0.4413519501686096]","[117.30286407470703, 904.7621459960938, 0.3527110815048218]","[426.78692626953125, 910.516845703125, 0.3345049023628235]","[308.75115966796875, 225.71014404296875]","[295.7960205078125, 496.89935302734375]",[137.65821564572812],[92.73503107678589],[82.87109369332092],[53.80535336469085],[118.14444826515069],[115.1569105792194],[116.57765544879865],[115.54195406052864],[66.10183320537966],[71.5556053592163],[135.07681543105778],[243.91037018499637],[150.93425967136992],[99.18372475682615],[177.0124623140687],[316.4228131941988],[178.96429861173],[85.94690969523312],[185.45377215383664]
ALDAIR,3,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 0  2 64 ...  0  0  0]
 [17 37 69 ...  0  0  0]
 [ 1  0  0 ...  0  0  0]]","[429.0020751953125, 140.7118377685547, 3.1257269382476807]","[374.294677734375, 239.99261474609375, 0.2988226115703583]","[289.354248046875, 222.7263946533203, 0.3072041869163513]","[390.1310729980469, 379.56121826171875, 0.6303032040596008]","[211.61216735839844, 363.73388671875, 0.844142496585846]","[463.55413818359375, 467.3312072753906, 0.879096508026123]","[143.94773864746094, 510.49676513671875, 0.8472750782966614]","[339.7426452636719, 488.91400146484375, 0.08998838812112808]","[293.6732482910156, 514.8132934570312, 0.1428489238023758]","[223.12950134277344, 709.0582885742188, 0.33568552136421204]","[381.4930419921875, 706.1806030273438, 0.4104277193546295]","[118.0337142944336, 909.0586547851562, 0.3247283697128296]","[460.6747741699219, 914.8140869140625, 0.37357136607170105]","[331.824462890625, 231.3594970703125]","[316.70794677734375, 501.8636474609375]",[136.9911490890016],[93.19851902261657],[83.52652097715124],[50.08618576063466],[118.86939726742749],[114.75187223765936],[117.91072058646904],[117.72093715044771],[65.34927952476532],[69.21696797626709],[136.20736993361496],[252.036295800262],[146.5596647834834],[107.37919185904303],[175.88247497023187],[327.25454290988364],[179.8102165639787],[94.69310184817995],[183.86768845150175]
ALDAIR,4,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[452.8772888183594, 141.5123748779297, 1.4293241500854492]","[389.65045166015625, 240.7339630126953, 0.3154904544353485]","[314.9278564453125, 223.47805786132812, 0.3742135465145111]","[414.0789794921875, 383.09539794921875, 0.581191897392273]","[234.45736694335938, 373.0294494628906, 0.6889206767082214]","[495.9864501953125, 483.7549743652344, 0.9287348389625549]","[178.41543579101562, 511.0768737792969, 0.8997304439544678]","[363.78497314453125, 486.6309814453125, 0.0730152279138565]","[322.11273193359375, 513.9528198242188, 0.13008376955986023]","[244.51620483398438, 706.6441040039062, 0.42947205901145935]","[412.6420593261719, 706.6441040039062, 0.46633726358413696]","[126.68441009521484, 895.0211791992188, 0.35175928473472595]","[470.1209411621094, 928.0951538085938, 0.36562490463256836]","[352.2891540527344, 232.10601806640625]","[342.9488525390625, 500.2919006347656]",[137.99255181138807],[91.9946748529749],[80.26315147768047],[50.8644858441961],[118.28376950223972],[112.09525573953727],[118.4620516244656],[122.02640216177247],[64.83514051498028],[75.449631099385],[134.00212304158683],[247.259643035562],[150.60133436651563],[105.28023884461084],[173.81148623729757],[331.7123591705891],[183.56435053730686],[98.08544806110378],[190.61449058440473]
ALDAIR,5,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ... 133   2   1]
 [  0   0   0 ...  56   0   1]
 [  0   0   0 ...   0   2   1]]","[474.4410705566406, 147.054443359375, 1.1650174856185913]","[411.1811218261719, 236.2740936279297, 0.29418066143989563]","[334.9816589355469, 231.9569854736328, 0.3244238495826721]","[426.99609375, 381.6157531738281, 0.7241104245185852]","[268.8462829589844, 371.5426025390625, 0.6584509015083313]","[508.9465026855469, 478.0305480957031, 0.7848837971687317]","[215.65040588378906, 512.5671997070312, 1.0455384254455566]","[389.615234375, 492.42083740234375, 0.09933584928512573]","[346.4834899902344, 509.68914794921875, 0.1384032517671585]","[268.8462829589844, 708.2747802734375, 0.48196175694465637]","[437.0601806640625, 709.7138671875, 0.5110098123550415]","[133.70005798339844, 883.8360595703125, 0.3151417374610901]","[474.4410705566406, 921.250732421875, 0.3581833243370056]","[373.0813903808594, 234.11553955078125]","[368.04937744140625, 501.05499267578125]",[139.3396557741047],[91.07994137612096],[83.78994225009542],[49.636210964344485],[115.35149716022207],[110.66697302398731],[119.22674421193412],[127.58890281718601],[65.63767550514386],[79.97866246861302],[131.74028560201626],[260.5472956041926],[145.84626871424905],[112.10885051431924],[175.31547586376524],[321.04604466022363],[188.3621586052519],[87.45694797701877],[194.34098696346913]
ALDAIR,6,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   1   0]
 [  0   0   0 ... 167  37   1]
 [  0   0   0 ...   3 129  52]]","[494.3817138671875, 147.38433837890625, 1.1068227291107178]","[431.0194396972656, 236.59690856933594, 0.2466137409210205]","[360.4569091796875, 225.0856170654297, 0.3017521798610687]","[442.5398254394531, 383.3659973144531, 0.46957385540008545]","[298.53466796875, 370.415771484375, 1.0159233808517456]","[521.74267578125, 479.77313232421875, 0.731517493724823]","[255.33309936523438, 521.5015869140625, 1.1509921550750732]","[415.1788635253906, 486.9676818847656, 0.07391461730003357]","[371.977294921875, 514.3070678710938, 0.09901226311922073]","[305.73492431640625, 711.4380493164062, 0.4065580368041992]","[458.38043212890625, 714.3158569335938, 0.4700344502925873]","[148.76927185058594, 876.9130249023438, 0.3130348026752472]","[485.74139404296875, 924.3970947265625, 0.4402260482311249]","[395.7381591796875, 230.8412628173828]","[393.57806396484375, 500.63739013671875]",[139.7672632803895],[90.45872302155514],[85.51186921509306],[50.59533839311444],[113.0778737308454],[105.9573833678482],[115.99225178166554],[133.4882948311229],[66.635814776471],[82.57957078941044],[130.69145974116563],[256.24648586602234],[145.08346917802137],[103.81248250639436],[172.87950963700283],[328.31924839562845],[197.49604304945734],[98.96279016823559],[195.94375601293942]
ALDAIR,7,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   2   1   2]
 [  0   0   0 ...  51 158  26]]","[519.3851318359375, 149.18624877929688, 1.5732966661453247]","[454.6798400878906, 234.05252075195312, 0.26977452635765076]","[381.34722900390625, 229.73728942871094, 0.3502686321735382]","[463.3072509765625, 382.20892333984375, 0.35572749376296997]","[332.4588317871094, 379.33209228515625, 0.9086042642593384]","[536.6397705078125, 482.897705078125, 0.6057376265525818]","[297.94940185546875, 530.3652954101562, 1.0738329887390137]","[389.9745788574219, 524.6116333007812, 0.0810166671872139]","[420.1703796386719, 526.050048828125, 0.11751571297645569]","[345.39990234375, 710.166748046875, 0.508152961730957]","[483.4377136230469, 708.7283325195312, 0.5210732221603394]","[171.4147186279297, 868.3920288085938, 0.3270626664161682]","[490.6272277832031, 924.4900512695312, 0.40177997946739197]","[418.0135498046875, 231.8948974609375]","[405.0724792480469, 525.330810546875]",[140.7891386979922],[92.52521433091735],[86.66732839440995],[53.93382173204037],[108.0976741778881],[102.87051474185687],[103.50783424651809],[137.71604765593796],[70.89739363185068],[88.09152214931213],[131.73607563292518],[263.29964890249846],[147.26649333763044],[104.73002124397902],[174.77284056396877],[100.78065387202102],[214.20821340941987],[248.16998215639532],[197.19412851746148]
ALDAIR,8,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   3   1   1]
 [  0   0   0 ...  80   4   2]
 [  0   0   0 ...  32 161   8]]","[540.9151000976562, 141.4542694091797, 0.9152669310569763]","[479.02740478515625, 234.98699951171875, 0.2863723635673523]","[409.9435729980469, 222.03631591796875, 0.31569018959999084]","[484.784423828125, 390.3952331542969, 0.34375226497650146]","[365.3269348144531, 386.07830810546875, 0.959846019744873]","[549.550537109375, 492.56170654296875, 0.6244692802429199]","[348.05596923828125, 532.852783203125, 0.8269397020339966]","[425.77532958984375, 509.8293151855469, 0.05186903104186058]","[444.4855041503906, 508.39031982421875, 0.09168604016304016]","[392.6726379394531, 714.162353515625, 0.48563262820243835]","[499.1769104003906, 711.284423828125, 0.4511244297027588]","[219.96299743652344, 846.5470581054688, 0.29964616894721985]","[491.9806213378906, 922.8121948242188, 0.35491013526916504]","[444.4854736328125, 228.51165771484375]","[435.13043212890625, 509.10980224609375]",[137.92404025110903],[91.90951345487629],[87.87847705984386],[57.62827522007225],[105.21542141156247],[96.71113833307855],[99.20217520762225],[142.52925734443804],[74.91411644343694],[91.94848188663428],[133.98547320376727],[257.26085731278135],[149.74979816022838],[94.59779249717947],[171.49571692151608],[103.60020879846351],[223.32708213681582],[259.311978517081],[197.03436544319737]
ALDAIR,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   1   1   1]
 [  0   0   0 ... 166 163  68]
 [  0   0   0 ...   0   1   3]]","[558.3772583007812, 136.82565307617188, 0.8957993984222412]","[503.8090515136719, 233.1978759765625, 0.20615632832050323]","[434.88079833984375, 227.44432067871094, 0.35936984419822693]","[506.6810302734375, 394.2977600097656, 0.2631472051143646]","[401.85272216796875, 391.4209289550781, 0.6152509450912476]","[558.3772583007812, 494.985107421875, 0.6084921956062317]","[398.980712890625, 539.5753173828125, 0.8237230181694031]","[506.6810302734375, 507.9306640625, 0.140464648604393]","[456.4208679199219, 512.245849609375, 0.11839841306209564]","[440.62481689453125, 719.3742065429688, 0.3722531199455261]","[506.6810302734375, 719.3742065429688, 0.4072885513305664]","[256.8161926269531, 835.8839111328125, 0.36640772223472595]","[493.7569885253906, 925.0641479492188, 0.27007997035980225]","[469.34490966796875, 230.32110595703125]","[481.55096435546875, 510.0882568359375]",[133.59930328333743],[87.50180756884936],[88.97867814244243],[62.822529964104085],[101.38811086162283],[91.11055368825262],[107.34911343338916],[147.6308533662603],[76.36066692196394],[93.59531860922688],[133.90250428551195],[264.20718070821493],[153.84385182166164],[96.61658402994115],[169.7224428266298],[292.2563246707428],[220.28173993287115],[81.26787222918001],[197.23465168726295]
ALDAIR,10,"[[  0   0   0 ...   5  45 141]
 [  0   0   0 ... 182  62  60]
 [  0   0   0 ...   7   3  60]
 ...
 [  0   0   0 ...   1   1   1]
 [  0   0   0 ...  78  49  14]
 [  0   0   0 ...   2  45 129]]","[579.1925659179688, 137.26071166992188, 1.24317467212677]","[519.0152587890625, 223.6546173095703, 0.1010039672255516]","[457.40509033203125, 222.21470642089844, 0.16461659967899323]","[523.3135986328125, 387.80303955078125, 0.1044633537530899]","[434.4803771972656, 384.9232482910156, 0.42442813515663147]","[561.9990844726562, 502.994873046875, 0.41760197281837463]","[450.24114990234375, 536.112548828125, 0.550256609916687]","[527.6119995117188, 517.3938598632812, 0.04443757236003876]","[484.6282043457031, 517.3938598632812, 0.07825502008199692]","[506.1200866699219, 720.4195556640625, 0.10201366245746613]","[510.41845703125, 720.4195556640625, 0.2120620310306549]","[510.41845703125, 917.685546875, 0.11986391246318817]","[488.9265441894531, 926.3250122070312, 0.168744295835495]","[488.2101745605469, 222.93466186523438]","[506.1201171875, 517.3938598632812]",[136.7211936707987],[86.51937682677156],[88.50001320828473],[71.43613040300325],[98.01986126139191],[84.0486804677186],[96.04271753638992],[88.75173863941863],[82.76051954390216],[95.95881740486067],[129.79818315597285],[267.1611790089318],[162.93611719471852],[96.68102706203894],[166.0288192063267],[276.04271753638994],[172.7090211030287],[82.76051954390216],[193.19829786095852]
