etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
ANTONIO,1,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [68 38  3 ...  0  0  0]
 [73 73  6 ...  0  0  0]
 [71 46 80 ...  0  0  0]]","[226.3780517578125, 214.80120849609375, 2.207263469696045]","[180.3955841064453, 306.8939208984375, 0.13883031904697418]","[104.23712921142578, 292.50445556640625, 0.1989755779504776]","[246.49537658691406, 434.9603576660156, 0.241261824965477]","[51.06989288330078, 422.00982666015625, 0.45903852581977844]","[334.1494445800781, 502.5909423828125, 0.4917858839035034]","[78.37198638916016, 561.5878295898438, 0.5854630470275879]","[145.9087371826172, 586.0499877929688, 0.06644530594348907]","[164.589111328125, 586.0499877929688, 0.11863042414188385]","[118.60663604736328, 770.2354736328125, 0.27889207005500793]","[232.12586975097656, 750.090087890625, 0.44895076751708984]","[71.18722534179688, 964.4935913085938, 0.22738178074359894]","[233.5628204345703, 976.005126953125, 0.3460373878479004]","[142.3163604736328, 299.6991882324219]","[155.24893188476562, 586.0499877929688]",[134.71640920471947],[87.41408588458843],[62.70007931108483],[37.652428101817854],[112.32014970294324],[78.93242507749818],[98.43164524121632],[103.71792388736527],[67.62260211769188],[89.63557052413901],[132.69767667986898],[232.00067689093478],[154.95234879073305],[101.62074937699079],[146.61227537455494],[98.43164524121632],[185.28627864614893],[247.62260211769188],[202.01296840644713]
ANTONIO,2,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 19   1   0 ...   1   1   0]
 [  3   2   1 ...  32   3   4]
 [  0   1   0 ...  11 133 149]]","[243.14207458496094, 217.70115661621094, 1.7034845352172852]","[200.03750610351562, 311.18389892578125, 0.13868415355682373]","[116.70198059082031, 298.2401123046875, 0.20398801565170288]","[258.94708251953125, 437.74517822265625, 0.18418653309345245]","[73.59739685058594, 430.5541687011719, 0.4448711574077606]","[356.65081787109375, 511.0931396484375, 0.549060583114624]","[100.89696502685547, 568.6209716796875, 0.4851152002811432]","[165.5538330078125, 594.508544921875, 0.06985067576169968]","[181.35885620117188, 595.9467163085938, 0.13927336037158966]","[125.3228988647461, 775.7212524414062, 0.3558328449726105]","[248.88937377929688, 759.9010620117188, 0.47432348132133484]","[73.59739685058594, 965.5631103515625, 0.23356126248836517]","[279.0625915527344, 977.0686645507812, 0.3342348039150238]","[158.3697509765625, 304.7120056152344]","[173.4563446044922, 595.2276611328125]",[134.25341466115347],[87.02727769058319],[65.03977057295992],[36.89622036659745],[108.04430360406045],[78.81533307273689],[102.51719011219826],[105.2411984748428],[67.61391769195508],[82.08997695029471],[132.77386302942975],[236.2110566440654],[151.85644979363755],[99.21559285731729],[150.77102946867646],[97.31768399948724],[182.72400836264455],[242.41485046995888],[194.47605925833963]
ANTONIO,3,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1   4   2 ...   2 115 122]
 [ 12   0   2 ...   1   1   4]
 [ 43   6  89 ...   5 153 161]]","[260.62603759765625, 226.87539672851562, 1.59287428855896]","[214.560791015625, 313.1947937011719, 0.13789087533950806]","[138.26519775390625, 306.00152587890625, 0.2116783857345581]","[275.0214538574219, 439.796630859375, 0.21482864022254944]","[96.51856231689453, 436.9193115234375, 0.597355842590332]","[364.27288818359375, 513.1681518554688, 0.48724547028541565]","[125.3093490600586, 577.90771484375, 0.5937479138374329]","[182.89093017578125, 596.6102294921875, 0.07226308435201645]","[198.72586059570312, 599.487548828125, 0.14042861759662628]","[135.38613891601562, 775.0037231445312, 0.3948643207550049]","[262.06561279296875, 762.0557861328125, 0.40664729475975037]","[74.92546844482422, 966.3451538085938, 0.2902415096759796]","[318.2076416015625, 983.6090087890625, 0.2903946042060852]","[176.41299438476562, 309.59814453125]","[190.8083953857422, 598.0488891601562]",[135.51148629313772],[87.14297150282245],[64.47247116501849],[39.42282578000165],[107.68627215413011],[78.45849623773805],[104.91138298521366],[107.53565906220501],[68.71314265395449],[75.78044976783495],[131.6314852096847],[239.0864339048312],[154.95035461498315],[102.30028032573261],[150.77222408360797],[94.61269731427026],[182.62427607699135],[238.41445698301112],[187.06730711388047]
ANTONIO,4,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 10   0   0 ...  69  77 162]
 [ 56  48  27 ... 106  13   1]
 [  1   1   0 ...   0   0   1]]","[105.31782531738281, 312.46435546875, 0.08562932908535004]","[29.73082160949707, 335.4739990234375, 0.06349325180053711]","[88.20378112792969, 331.1596984863281, 0.03511939197778702]","[11.190611839294434, 418.8840026855469, 0.0317097045481205]","[99.61315155029297, 440.4555358886719, 0.01727561466395855]","[19.747631072998047, 489.35101318359375, 0.012809346430003643]","[101.03931427001953, 439.0174255371094, 0.009259628131985664]","[29.73082160949707, 493.66534423828125, 0.01125316321849823]","[72.51591491699219, 502.2939758300781, 0.010540973395109177]","[71.08975219726562, 577.0753784179688, 0.01354043185710907]","[105.31782531738281, 561.2561645507812, 0.009808945469558239]","[105.31782531738281, 577.0753784179688, 0.01994113065302372]","[105.31782531738281, 561.2561645507812, 0.0244908407330513]","[58.96730041503906, 333.31683349609375]","[51.12336730957031, 497.97967529296875]",[155.77766019197367],[92.72729883354138],[102.5318537513702],[83.07630203712931],[84.04048996734836],[-45.23899429004411],[63.625450486833536],[0.0],[60.911888720696744],[0.0],[116.94963864156772],[106.75168218137092],[160.54444828575913],[268.26025864047307],[50.72051574260754],[52.22329582611187],[116.37454951316649],[229.509813590914],[119.08811127930326]
ANTONIO,5,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  8  96   5 ...   0   2   1]
 [ 75  73  76 ...   1   4  44]
 [  2   1   1 ... 159 154  21]]","[277.5508117675781, 228.9389190673828, 1.0347106456756592]","[231.56309509277344, 315.319091796875, 0.16716429591178894]","[153.9588165283203, 309.5604248046875, 0.22415198385715485]","[284.73638916015625, 446.3290100097656, 0.16563285887241364]","[119.4680404663086, 442.010009765625, 0.5970882177352905]","[376.7118225097656, 516.872802734375, 0.8100630640983582]","[149.64747619628906, 581.657958984375, 0.7601425647735596]","[194.1980743408203, 603.2529907226562, 0.10052868723869324]","[217.19195556640625, 604.6926879882812, 0.15881621837615967]","[148.21035766601562, 776.0133666992188, 0.33333683013916016]","[280.425048828125, 774.5736694335938, 0.34625157713890076]","[79.2287826538086, 964.6100463867188, 0.299308717250824]","[335.03546142578125, 981.8861694335938, 0.2897831201553345]","[192.76095581054688, 312.43975830078125]","[205.69500732421875, 603.9728393554688]",[135.43884644754223],[87.45970193764182],[67.90913015201568],[37.48767089243832],[104.59604751932613],[77.80529931442251],[104.90611213576601],[110.09061978863359],[69.58372865287699],[75.24235342154694],[132.02085549009962],[243.66524438495824],[149.57854074042262],[100.35216175226869],[153.20925179509638],[101.32337241878894],[185.18450765286758],[246.00099367853903],[185.65862476866994]
ANTONIO,6,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 54  51  53 ...   0   0   0]
 [  0   0   0 ... 117  83  36]
 [  0   0   0 ...   1   1   4]]","[294.03179931640625, 228.5253448486328, 2.127452850341797]","[252.26730346679688, 323.4183654785156, 0.17280887067317963]","[168.73831176757812, 311.91619873046875, 0.221134215593338]","[296.912109375, 449.9423522949219, 0.14693114161491394]","[145.69583129882812, 449.9423522949219, 0.7874500751495361]","[380.4411315917969, 518.9555053710938, 0.4738677144050598]","[175.9390869140625, 585.0930786132812, 0.6906320452690125]","[211.9429473876953, 605.2218627929688, 0.11307895183563232]","[236.42559814453125, 606.65966796875, 0.1600687950849533]","[165.85800170898438, 773.4412841796875, 0.37422487139701843]","[298.3522644042969, 772.0034790039062, 0.49597981572151184]","[79.44869232177734, 963.227294921875, 0.2916926443576813]","[341.5569152832031, 989.1072387695312, 0.3037564754486084]","[210.5028076171875, 317.66729736328125]","[224.18426513671875, 605.9407958984375]",[133.13815947859868],[87.28278175452458],[70.56428159491641],[39.56411878397471],[99.47771838924977],[77.38647895164985],[105.32069678375478],[114.47970873668002],[69.46743106617474],[78.74491566314775],[134.1446222759259],[242.72382821697173],[148.99983718905833],[91.63722392401928],[157.9087605624001],[101.95957411354384],[189.15901195292525],[246.10659727024992],[189.277484596973]
ANTONIO,7,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   2   1   1]
 [  0   0   0 ... 169 145 131]
 [  0   0   0 ...  96   1   2]]","[313.2144775390625, 227.08677673339844, 1.3017524480819702]","[270.1384582519531, 320.66015625, 0.19991473853588104]","[192.6016082763672, 317.781005859375, 0.2643735706806183]","[293.11236572265625, 460.3005065917969, 0.11835318803787231]","[169.62771606445312, 450.2233581542969, 0.7338830828666687]","[390.7513427734375, 532.280029296875, 0.40958812832832336]","[199.78094482421875, 592.7428588867188, 1.305010437965393]","[231.3700408935547, 604.2595825195312, 0.11310484260320663]","[255.77978515625, 598.501220703125, 0.1414097398519516]","[176.8070526123047, 782.7688598632812, 0.2564026415348053]","[313.2144775390625, 771.2520141601562, 0.3534625768661499]","[84.91152954101562, 961.278076171875, 0.2980339229106903]","[344.8035888671875, 990.06982421875, 0.3166491389274597]","[231.37002563476562, 319.2205810546875]","[243.57492065429688, 601.38037109375]",[131.6153784222598],[87.52320011448876],[80.6572793696204],[36.39766586261535],[99.8407951295983],[78.0539477508689],[106.99625014206697],[117.23915050128623],[71.60951101506338],[81.78538344865531],[135.90782169222896],[258.5307114570702],[135.74038649299496],[97.71422638082464],[158.2131526212706],[120.27001607620346],[190.24290035921928],[264.8830215321699],[190.17587243359193]
ANTONIO,8,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ... 112  13   1]
 [  0   0   0 ... 121  92 124]]","[328.3726806640625, 228.07850646972656, 2.707141637802124]","[288.07769775390625, 322.9701843261719, 0.18545252084732056]","[214.68325805664062, 312.90594482421875, 0.24565914273262024]","[319.738037109375, 458.1189880371094, 0.08783652633428574]","[194.53578186035156, 452.36798095703125, 0.7592393159866333]","[391.693359375, 535.7576293945312, 0.3556199371814728]","[226.1961212158203, 584.6412353515625, 0.7096285820007324]","[257.8564453125, 601.894287109375, 0.10153168439865112]","[270.80841064453125, 599.0187377929688, 0.11539039015769958]","[208.92681884765625, 774.4246215820312, 0.3448181748390198]","[334.1291198730469, 775.8624267578125, 0.46181052923202515]","[92.35917663574219, 949.8305053710938, 0.26672279834747314]","[349.95928955078125, 992.9630126953125, 0.3402775228023529]","[251.38047790527344, 317.93804931640625]","[264.3324279785156, 600.45654296875]",[130.59016930723737],[87.37513523898036],[76.81548240469382],[47.17571389633378],[98.22040040698347],[76.53918434548366],[105.83334368290944],[123.60640173896724],[70.2995688186218],[85.82958483890795],[136.784965931743],[249.00745015674107],[150.36023149163995],[90.41241492706995],[158.3187839385002],[118.35065832318193],[197.7730580560578],[262.81739809581813],[195.53001602028615]
ANTONIO,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   1]
 [  0   0   0 ...  11   0   1]
 [  0   0   0 ...  94 123   2]]","[346.44482421875, 226.05133056640625, 2.22186541557312]","[299.0310363769531, 316.7184753417969, 0.1624298244714737]","[237.24948120117188, 306.64434814453125, 0.2725256383419037]","[332.0770263671875, 470.7087097167969, 0.08586318045854568]","[217.13453674316406, 446.2429504394531, 0.5959303975105286]","[401.0425109863281, 565.6932983398438, 0.451352596282959]","[257.3644104003906, 584.4024047851562, 0.6997529864311218]","[283.2264709472656, 598.7940063476562, 0.09477022290229797]","[299.0310363769531, 597.3548583984375, 0.11711380630731583]","[245.8701629638672, 770.05419921875, 0.39947593212127686]","[346.44482421875, 777.2500610351562, 0.35590749979019165]","[105.06562805175781, 938.43603515625, 0.22568556666374207]","[353.62872314453125, 987.367431640625, 0.35634079575538635]","[268.1402587890625, 311.681396484375]","[291.1287536621094, 598.074462890625]",[132.44141169770938],[85.41076256322975],[77.88813914582248],[54.0177144328539],[98.19938825551941],[73.76526569022882],[102.30496524455336],[129.9030973680402],[75.23471138385848],[88.04182387591672],[132.96935086552037],[248.62694371536222],[156.12957528703143],[88.93824796259779],[155.56587743470942],[107.50769343573795],[207.59813212348683],[260.43787847336444],[192.80711249205828]
ANTONIO,10,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   1   0   2]
 [  0   0   0 ... 161  94   1]]","[362.66973876953125, 221.88241577148438, 1.0054594278335571]","[312.2942199707031, 309.65728759765625, 0.13395538926124573]","[261.918701171875, 305.3404846191406, 0.18393638730049133]","[305.09771728515625, 472.2565612792969, 0.07713448256254196]","[244.6470947265625, 442.0389709472656, 0.5453132390975952]","[392.8950500488281, 570.1039428710938, 0.19399870932102203]","[284.947509765625, 577.298583984375, 0.8170666694641113]","[299.34051513671875, 600.321533203125, 0.06119416654109955]","[323.80865478515625, 597.443603515625, 0.10698746144771576]","[284.947509765625, 772.9933471679688, 0.4858553111553192]","[362.66973876953125, 775.8712158203125, 0.34740906953811646]","[125.18512725830078, 929.8368530273438, 0.1495831459760666]","[355.4732360839844, 993.1499633789062, 0.30064067244529724]","[287.1064453125, 307.4989013671875]","[311.5745849609375, 598.882568359375]",[131.4309402141522],[85.20000595617952],[92.53420759254915],[48.098735384287174],[97.20106093960966],[73.40864721386083],[94.76485684585553],[135.52821056418514],[77.71300628700979],[91.89700354604693],[133.76906574202732],[267.63639299297637],[135.56452779173802],[92.30317152092815],[156.20758627425116],[101.47313466736891],[220.7633537183296],[264.42128410852314],[194.18399725903717]
