etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
ERVEN,1,"[[  0   0   0 ... 122 107  87]
 [  0   0   0 ...   1   5   1]
 [  0   0   0 ...   3   5   2]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[301.9862365722656, 193.3091583251953, 0.5905596613883972]","[260.33062744140625, 301.2089538574219, 0.08488158136606216]","[187.0741424560547, 291.1383056640625, 0.13948675990104675]","[258.89422607421875, 450.83001708984375, 0.060404710471630096]","[184.20135498046875, 439.3206787109375, 0.4103986620903015]","[280.44024658203125, 555.8524780273438, 0.07542621344327927]","[247.4029998779297, 573.116455078125, 0.4737949073314667]","[258.89422607421875, 571.6777954101562, 0.07629673182964325]","[202.87457275390625, 587.5031127929688, 0.08915156871080399]","[294.80426025390625, 751.5107421875, 0.26189690828323364]","[214.36578369140625, 783.161376953125, 0.15563039481639862]","[131.05450439453125, 902.570556640625, 0.20465794205665588]","[175.5829315185547, 990.3290405273438, 0.17994919419288635]","[223.702392578125, 296.17364501953125]","[230.8843994140625, 579.5904541015625]",[127.27253498352856],[88.54839014913209],[90.55003758162634],[78.40627935260213],[91.11064479279135],[64.71516798511978],[78.70739433712778],[137.30833725849158],[86.63882104559225],[100.60333412747704],[141.27585516560353],[262.72260907573025],[167.85624177097577],[83.28317265552934],[153.60452319232843],[274.4821580059539],[238.60094292136378],[102.41358471441839],[193.9645130818848]
ERVEN,2,"[[  0   0   0 ... 116  62   7]
 [  0   0   0 ... 108 121 108]
 [  0   0   0 ...   1   3 108]
 ...
 [171 158  23 ...   0   0   0]
 [158   6   2 ...   0   0   0]
 [  2   1   3 ...   0   0   0]]","[321.619384765625, 193.3895721435547, 1.4783966541290283]","[274.15509033203125, 294.18804931640625, 0.09579433500766754]","[209.43104553222656, 291.3080749511719, 0.11919614672660828]","[287.09991455078125, 458.3455810546875, 0.03741893544793129]","[209.43104553222656, 430.98602294921875, 0.33964803814888]","[307.23626708984375, 577.86376953125, 0.11387158185243607]","[287.09991455078125, 574.9838256835938, 0.40395301580429077]","[292.8531494140625, 576.423828125, 0.05563557147979736]","[215.18429565429688, 583.6237182617188, 0.07315890491008759]","[324.4960021972656, 747.7811889648438, 0.2484389841556549]","[219.49923706054688, 779.4607543945312, 0.16693267226219177]","[163.40505981445312, 914.8187255859375, 0.061306122690439224]","[176.34988403320312, 992.5775146484375, 0.1505531221628189]","[241.79306030273438, 292.748046875]","[254.0187225341797, 580.0238037109375]",[128.7790001695046],[87.56312042860468],[85.49120797039252],[80.43665277196281],[90.0],[61.65866945034747],[79.53761808876384],[133.96175589547198],[88.73778759669823],[101.44584245080026],[138.78412025910006],[262.94341742119025],[174.94544480157026],[87.45226217459675],[151.65866945034747],[264.8338363338891],[234.42413780670813],[94.03391655862681],[192.70805485410204]
ERVEN,3,"[[  0   0   0 ...   1   1   1]
 [  0   0   0 ...   4   1   1]
 [  0   0   0 ...   9   2   0]
 ...
 [ 32 167 103 ...   0   0   0]
 [183 108   6 ...   0   0   0]
 [143   8   1 ...   0   0   0]]","[342.75689697265625, 194.3454132080078, 1.3724898099899292]","[285.23590087890625, 295.044921875, 0.11063430458307266]","[233.4669952392578, 286.4135437011719, 0.15053696930408478]","[270.85565185546875, 454.7255554199219, 0.040589138865470886]","[239.21908569335938, 431.70855712890625, 0.47162535786628723]","[331.2527160644531, 578.4420776367188, 0.06696709245443344]","[318.31048583984375, 565.4950561523438, 0.8126604557037354]","[295.30206298828125, 582.7578125, 0.06924176961183548]","[234.905029296875, 585.6349487304688, 0.0925031378865242]","[358.5751953125, 743.8770141601562, 0.31175488233566284]","[224.83883666992188, 778.402587890625, 0.22916147112846375]","[243.5331573486328, 932.3289184570312, 0.2453475147485733]","[177.38400268554688, 986.9944458007812, 0.1839648336172104]","[259.3514404296875, 290.729248046875]","[265.1035461425781, 584.1964111328125]",[130.8711739829802],[88.87711735099259],[95.145965081951],[63.97887157771967],[87.73289886151743],[59.4094291308034],[68.55956423124485],[121.40232668114218],[92.9892308348293],[102.8166963060534],[138.00594336801242],[265.6802032702109],[148.83290649576867],[78.26706584644734],[151.676530269286],[251.28696185295289],[232.84276244989735],[95.71651291645928],[189.82746547122412]
ERVEN,4,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [152  13   1 ...   0   0   0]
 [ 10   2   2 ...   0   0   0]
 [ 67   2  29 ...   0   0   0]]","[361.9290466308594, 193.66432189941406, 1.7430336475372314]","[311.68212890625, 295.8614196777344, 0.10418648272752762]","[254.25704956054688, 291.5432434082031, 0.18445703387260437]","[337.5234069824219, 472.90716552734375, 0.0771515965461731]","[262.8708190917969, 432.6040954589844, 0.4351389706134796]","[366.2359313964844, 582.30126953125, 0.1342930793762207]","[349.0084228515625, 563.589111328125, 0.6849374175071716]","[327.4739990234375, 593.81640625, 0.10513302683830261]","[245.64328002929688, 580.8618774414062, 0.09346850216388702]","[386.3346862792969, 737.7560424804688, 0.29872027039527893]","[235.59390258789062, 767.9833984375, 0.22339485585689545]","[301.6327209472656, 936.3927612304688, 0.2859651744365692]","[179.60446166992188, 983.8928833007812, 0.19335776567459106]","[282.9696044921875, 293.70233154296875]","[286.55865478515625, 587.339111328125]",[128.28383499975263],[89.29972262036081],[81.69584990422871],[75.29337575086006],[86.5056174900228],[56.670513010011256],[67.75906142575454],[113.09419753520714],[93.0741215578125],[104.53766463640655],[141.01588762060814],[257.395487615922],[173.59752584663136],[82.2052597552757],[150.16489551998848],[238.76324028132672],[225.3351361094526],[84.07839039419821],[191.46354307859403]
ERVEN,5,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [176   2   1 ...   0   0   0]
 [ 30   3   2 ...   0   0   0]
 [168 127  93 ...   0   0   0]]","[383.98150634765625, 195.11810302734375, 2.345597982406616]","[333.7546691894531, 298.79217529296875, 0.11066563427448273]","[276.3525085449219, 293.0325012207031, 0.2757801115512848]","[350.97528076171875, 464.3826904296875, 0.09281641244888306]","[289.26800537109375, 431.2646484375, 0.59917813539505]","[392.591796875, 578.13623046875, 0.19130751490592957]","[379.67633056640625, 559.4172973632812, 0.9201787710189819]","[350.97528076171875, 592.535400390625, 0.16227781772613525]","[267.7421875, 582.4559936523438, 0.11079302430152893]","[402.6371765136719, 743.726806640625, 0.5299832820892334]","[239.0411376953125, 778.2848510742188, 0.3386700451374054]","[366.7608337402344, 956.8345947265625, 0.31033971905708313]","[180.20399475097656, 985.6329956054688, 0.20666055381298065]","[305.0535888671875, 295.912353515625]","[309.3587341308594, 587.4957275390625]",[128.0630651463434],[89.15410563860367],[84.06285843108728],[69.90504986123543],[84.66215838649643],[54.79803692278391],[71.13477274912263],[99.55604532769401],[98.33801532378395],[105.84182951844289],[141.09104049226028],[258.3330664465173],[165.84219143014815],[78.93230608712818],[150.1358785362875],[244.23000016878595],[208.4212725785714],[91.43315992748843],[187.50381419465896]
ERVEN,6,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  2  35 151 ...   0   0   0]
 [167  15   0 ...   0   0   0]
 [  3   1   1 ...   0   0   0]]","[405.3598327636719, 199.4336395263672, 1.698931097984314]","[360.8252868652344, 305.90557861328125, 0.15344318747520447]","[301.9248046875, 288.6398620605469, 0.2793022096157074]","[353.6423034667969, 465.6134338378906, 0.1193365752696991]","[314.8541564941406, 435.3984375, 0.8285692930221558]","[415.4160461425781, 572.0853881835938, 0.1903892606496811]","[408.2330627441406, 557.697265625, 1.5651479959487915]","[370.8814697265625, 589.35107421875, 0.20198728144168854]","[288.9953918457031, 582.1570434570312, 0.12727980315685272]","[421.16241455078125, 749.0589599609375, 0.5594212412834167]","[244.4608612060547, 776.3963623046875, 0.3670831024646759]","[429.78204345703125, 962.0028076171875, 0.3385646939277649]","[178.3773651123047, 986.462646484375, 0.26522791385650635]","[331.37506103515625, 297.272705078125]","[329.93841552734375, 585.7540283203125]",[127.09615066366938],[90.28533231496564],[92.57518622680129],[59.878210388725826],[84.96527140328523],[52.637155942303345],[72.52439787223723],[87.68202325236157],[102.91339296541332],[107.46274227027486],[143.18918165129628],[256.2375115787773],[147.30302416192453],[68.62766745641412],[147.67188453901812],[247.50357695109457],[195.15762538012436],[97.8926530796136],[184.54934930486155]
ERVEN,7,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1  90  22 ...   0   0   0]
 [ 14 107   1 ...   0   0   0]
 [ 32   2   0 ...   0   0   0]]","[429.5976867675781, 205.08956909179688, 0.8514552116394043]","[383.6070861816406, 311.60675048828125, 0.16280679404735565]","[318.93280029296875, 294.3337097167969, 0.36612534523010254]","[392.2303466796875, 469.943115234375, 0.17534932494163513]","[340.49090576171875, 436.83636474609375, 0.6712985038757324]","[439.65814208984375, 563.5054321289062, 0.12387001514434814]","[433.90936279296875, 560.6266479492188, 1.0907386541366577]","[385.0442810058594, 582.2179565429688, 0.14870652556419373]","[310.3095397949219, 582.2179565429688, 0.1267915517091751]","[438.220947265625, 759.2667236328125, 0.4585849344730377]","[258.57012939453125, 766.4638671875, 0.3398965299129486]","[489.96038818359375, 960.7857055664062, 0.34208670258522034]","[179.52377319335938, 989.5740966796875, 0.27841487526893616]","[351.26995849609375, 302.97021484375]","[347.6769104003906, 582.2179565429688]",[128.66809221623413],[90.73717742707284],[86.88265666745905],[63.119034862664634],[81.39740368146695],[52.95993501748022],[73.28233931044277],[75.60049064154843],[105.685652388067],[109.50887158278047],[142.0690852108387],[251.92923831337708],[156.2363781952056],[66.44404927889357],[151.56253133601328],[253.28233931044275],[182.31815133110567],[105.685652388067],[183.82321919471352]
ERVEN,8,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   1   3 ...   0   0   0]
 [  1   5 183 ...   0   0   0]
 [164  33   1 ...   0   0   0]]","[450.64422607421875, 210.29872131347656, 1.48348867893219]","[401.7329406738281, 313.8478698730469, 0.2148924022912979]","[348.5059814453125, 298.0278625488281, 0.28899869322776794]","[414.6800537109375, 473.48614501953125, 0.11671528965234756]","[364.3302001953125, 438.9697570800781, 0.7286456227302551]","[456.39849853515625, 559.777099609375, 0.13372980058193207]","[457.8370361328125, 561.2152709960938, 1.4218555688858032]","[404.610107421875, 589.9789428710938, 0.1683264821767807]","[336.9974060058594, 591.4171142578125, 0.15811686217784882]","[454.9599304199219, 774.0662841796875, 0.41684064269065857]","[267.9461975097656, 776.9426879882812, 0.45836883783340454]","[529.7654418945312, 956.7155151367188, 0.46361273527145386]","[180.193603515625, 988.3555297851562, 0.2998161315917969]","[375.11944580078125, 305.9378662109375]","[370.80377197265625, 590.697998046875]",[128.2976145515061],[90.86827803265321],[85.36329961016543],[64.19797233332943],[83.59395704943088],[52.58725856836546],[74.7031201168531],[67.72803897134948],[110.41488406435096],[112.5422102598352],[142.57066348114714],[248.8104147464171],[158.834672723164],[67.04105424321928],[148.99330151893457],[255.92160816307305],[173.02491885449638],[111.63347440790925],[182.12732619548424]
ERVEN,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  4   3  62 ...   0   0   0]
 [  2   0   5 ...   0   0   0]
 [ 83 162 113 ...   0   0   0]]","[467.99798583984375, 211.28504943847656, 1.1771345138549805]","[427.6873474121094, 320.66015625, 0.19303756952285767]","[368.6610412597656, 304.82952880859375, 0.3769349157810211]","[427.6873474121094, 471.7704772949219, 0.14929638803005219]","[388.81634521484375, 438.6701354980469, 1.4277372360229492]","[478.07568359375, 568.1932983398438, 0.17407847940921783]","[483.83428955078125, 569.6323852539062, 1.3695399761199951]","[423.3683776855469, 591.2196044921875, 0.1610596776008606]","[352.82470703125, 588.3412475585938, 0.1622786968946457]","[472.31695556640625, 769.6737060546875, 0.4479896128177643]","[286.6000671386719, 779.7477416992188, 0.44348403811454773]","[544.30029296875, 961.0801391601562, 0.407185822725296]","[182.94410705566406, 984.1064453125, 0.29381439089775085]","[398.1741943359375, 312.7448425292969]","[388.0965576171875, 589.7803955078125]",[124.5354274062604],[92.083312269677],[90.0],[62.409472573088614],[81.43607321876834],[54.03772977077463],[74.66145534104753],[69.38993179861217],[109.08508351190795],[116.89528881535496],[147.54788486341658],[254.98679959314134],[152.4094725730886],[66.42287281190967],[152.6016565520063],[252.32489082991586],[174.72847645756462],[106.74862000119691],[187.81020530344702]
ERVEN,10,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 66 150   5 ...   0   0   0]
 [  1   0   3 ...   0   0   0]
 [  1   0   3 ...   0   0   0]]","[494.3415832519531, 214.1348876953125, 1.2583073377609253]","[439.6209411621094, 319.155029296875, 0.16438132524490356]","[393.5404052734375, 310.52325439453125, 0.3568510413169861]","[448.2610778808594, 483.15911865234375, 0.1496744006872177]","[410.8206481933594, 445.7547302246094, 1.186154842376709]","[498.6616516113281, 573.7930297851562, 0.24818243086338043]","[502.9816589355469, 573.7930297851562, 1.6828875541687012]","[456.901123046875, 593.933837890625, 0.1543501913547516]","[382.0203552246094, 593.933837890625, 0.17978227138519287]","[494.3415832519531, 773.7628784179688, 0.6342291235923767]","[308.5794677734375, 776.6401977539062, 0.5259121060371399]","[553.3822021484375, 972.294189453125, 0.4334069490432739]","[187.61810302734375, 985.2418823242188, 0.3342294692993164]","[416.5806884765625, 314.8391418457031]","[419.46075439453125, 593.933837890625]",[127.67427545458548],[89.4087678228092],[86.98430603925775],[60.922020135469836],[82.71805377853472],[54.253942499755524],[78.23901643960406],[73.43820973745649],[111.89821865337142],[120.10805775772539],[141.73449236822373],[256.3746445350022],[153.9377140962121],[72.10840600806468],[151.5358887212208],[258.23901643960403],[175.19919329785245],[111.89821865337142],[188.209839104354]
