etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
FERNANDO,1,"[[  0   0   0 ...  67   4   3]
 [  0   0   0 ... 121   8   4]
 [  0   0   0 ... 108  98   7]
 ...
 [141  56   6 ...   7   4   4]
 [  5 162  61 ...  16  78 122]
 [  2   1 111 ...   5  17 122]]","[388.0426330566406, 209.4078369140625, 0.9051106572151184]","[329.21270751953125, 300.0076904296875, 0.15535002946853638]","[254.59913635253906, 279.8743896484375, 0.24530047178268433]","[355.04046630859375, 455.3217468261719, 0.23197630047798157]","[220.16212463378906, 409.30279541015625, 0.4830598533153534]","[395.21697998046875, 564.6168212890625, 0.8268252015113831]","[248.85964965820312, 551.6739501953125, 0.7019000053405762]","[362.21484375, 564.6168212890625, 0.17867815494537354]","[281.86181640625, 553.112060546875, 0.09839867800474167]","[336.3870849609375, 768.8261108398438, 0.2656279504299164]","[274.6874084472656, 751.5689086914062, 0.37646645307540894]","[296.2105407714844, 961.530517578125, 0.2810276448726654]","[80.97915649414062, 880.997314453125, 0.18425217270851135]","[291.9059143066406, 289.9410400390625]","[322.038330078125, 558.8644409179688]",[140.0472758803923],[83.60677036212081],[80.55846743469613],[69.81673652409987],[104.8994938624434],[78.60368753161309],[97.20831968379618],[101.77677832622105],[92.07039650582928],[146.25067689698733],[123.55949448172852],[245.4577444343258],[169.25826908940374],[89.79876496781715],[153.70419366916968],[269.06021952751735],[184.56845864242487],[83.92229634955045],[234.18028039115802]
FERNANDO,2,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 4 5 ... 0 0 0]
 [0 2 2 ... 0 0 0]
 [0 1 0 ... 0 0 0]]","[404.7091064453125, 205.75164794921875, 1.8310812711715698]","[355.85516357421875, 313.6490478515625, 0.13214263319969177]","[273.9529113769531, 280.5605163574219, 0.22666841745376587]","[384.5927429199219, 456.0735778808594, 0.3215097188949585]","[229.40960693359375, 410.0373840332031, 0.6394408345222473]","[419.0779113769531, 551.023193359375, 0.3900499939918518]","[261.02099609375, 551.023193359375, 0.708448588848114]","[375.9715270996094, 565.4095458984375, 0.1999243199825287]","[308.4380798339844, 562.5322875976562, 0.13836471736431122]","[344.360107421875, 769.6952514648438, 0.2917850911617279]","[309.8749694824219, 752.431640625, 0.4342613220214844]","[296.9430236816406, 959.5946044921875, 0.30256083607673645]","[138.88609313964844, 877.5926513671875, 0.15718062222003937]","[314.904052734375, 297.10479736328125]","[342.2048034667969, 563.970947265625]",[134.5103882159019],[84.15888825003107],[78.59236284863748],[70.0392620021838],[108.98450778443767],[77.36233460555282],[98.79625337995233],[104.01984182966241],[89.56647487183237],[143.79649338367057],[129.64850003412917],[236.59365257032005],[171.44689915354635],[86.98577562888332],[148.37782682111515],[276.35669735859506],[185.2235884497101],[87.1268154729427],[234.2300185118382]
FERNANDO,3,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 1 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 [0 0 1 ... 0 0 0]]","[419.51800537109375, 204.73902893066406, 2.812976360321045]","[366.39227294921875, 302.56732177734375, 0.16095496714115143]","[293.1649169921875, 273.7942810058594, 0.1776139885187149]","[402.2880554199219, 444.9937744140625, 0.37617918848991394]","[247.21832275390625, 400.3955993652344, 0.4614286720752716]","[453.9779357910156, 552.8926391601562, 0.8004192113876343]","[274.4991149902344, 550.0153198242188, 0.7636528611183167]","[382.1864013671875, 555.7698974609375, 0.17551973462104797]","[323.3173522949219, 552.8926391601562, 0.13645753264427185]","[353.46978759765625, 764.3743286132812, 0.19589629769325256]","[339.11151123046875, 751.4264526367188, 0.2573668956756592]","[296.0365905761719, 962.9080810546875, 0.2689628005027771]","[175.4268035888672, 888.0982666015625, 0.19285470247268677]","[329.7785949707031, 288.1807861328125]","[352.75189208984375, 554.331298828125]",[137.08261688735138],[85.06663175014478],[75.85432378843899],[64.40284769510188],[109.94702456902286],[79.66653649491481],[97.83810797958787],[106.13445931029892],[85.45147106900866],[140.1391326623183],[127.98401486279342],[234.40307543701095],[168.5485239066629],[88.4958175866906],[149.71951192589196],[275.040028604426],[188.29635133071108],[82.6532760654712],[234.68766159330963]
FERNANDO,4,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[436.5967102050781, 204.99481201171875, 0.7535409927368164]","[387.7545166015625, 307.2027587890625, 0.16249096393585205]","[305.8720397949219, 274.0931701660156, 0.19005638360977173]","[416.4852600097656, 442.5203552246094, 0.41333577036857605]","[259.9029541015625, 400.7734375, 0.4317959249019623]","[475.3831787109375, 538.9701538085938, 0.5522788763046265]","[288.6336364746094, 549.0469970703125, 0.694094181060791]","[394.93719482421875, 550.486572265625, 0.16328765451908112]","[336.0392761230469, 549.0469970703125, 0.13179707527160645]","[387.7545166015625, 736.1883544921875, 0.135207399725914]","[363.33343505859375, 739.0674438476562, 0.22102247178554535]","[235.4818572998047, 888.780517578125, 0.08691905438899994]","[294.3797912597656, 952.1206665039062, 0.12304124981164932]","[346.81329345703125, 290.64794921875]","[365.48822021484375, 549.7667846679688]",[136.34865780909465],[85.87776919834924],[78.01292360030209],[58.589306819655704],[109.94456230853027],[79.03380510646322],[92.21501432400241],[134.93995302073088],[81.82605683344421],[107.93392292009061],[129.5291113892546],[235.99670592549998],[160.57638321935363],[87.9283961828335],[149.08924279793294],[270.81487790142114],[222.72493869672846],[80.42591896049635],[206.10786608664642]
FERNANDO,5,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  2   5 101 ...   0   0   0]
 [  2   0   3 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[453.2256774902344, 210.77357482910156, 1.1442580223083496]","[402.8975524902344, 305.8026428222656, 0.13478678464889526]","[322.3724670410156, 275.5661315917969, 0.19154050946235657]","[433.0944519042969, 432.5080261230469, 0.4007730484008789]","[276.358154296875, 402.27154541015625, 0.3732511103153229]","[504.9917907714844, 543.3753051757812, 0.6342613101005554]","[300.80328369140625, 549.1346435546875, 0.6364450454711914]","[408.6493225097656, 543.3753051757812, 0.1629667729139328]","[356.88323974609375, 550.574462890625, 0.07829012721776962]","[349.6934814453125, 727.674072265625, 0.15854832530021667]","[397.145751953125, 739.1926879882812, 0.338187038898468]","[289.2996826171875, 923.4915161132812, 0.06027408689260483]","[284.98583984375, 927.8109741210938, 0.14988265931606293]","[362.635009765625, 290.68438720703125]","[382.76629638671875, 546.974853515625]",[138.5842048815212],[85.5087119680551],[76.59511366484658],[57.03662452669193],[109.95898666279777],[80.5498453465143],[107.73909773696184],[107.14075089810424],[77.95046434940028],[120.73739497316716],[126.92450708653391],[236.0143671680419],[160.44151086184536],[89.37824016599308],[150.59085868371653],[295.65643179696536],[179.4016531611424],[85.86792173914861],[222.7869306237669]
FERNANDO,6,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 9  2  1 ...  0  0  0]
 [49  2  1 ...  0  0  0]
 [74  2  1 ...  0  0  0]]","[471.6803894042969, 206.1048583984375, 0.9735042452812195]","[425.59185791015625, 312.5245361328125, 0.13301768898963928]","[340.6161804199219, 279.4481506347656, 0.17583990097045898]","[451.51666259765625, 439.0776672363281, 0.4001219868659973]","[290.2068786621094, 407.4394226074219, 0.44905510544776917]","[524.97021484375, 536.8687133789062, 0.6864883899688721]","[314.6914367675781, 541.1830444335938, 0.6244112253189087]","[424.151611328125, 538.3068237304688, 0.1059478223323822]","[389.5852355957031, 552.6879272460938, 0.07750453799962997]","[344.93701171875, 749.7081298828125, 0.34628382325172424]","[428.4723815917969, 739.641357421875, 0.2984043061733246]","[294.5277099609375, 939.5377807617188, 0.1470227837562561]","[337.73565673828125, 936.6616821289062, 0.2690242528915405]","[383.10400390625, 295.986328125]","[406.868408203125, 545.4973754882812]",[134.5809963920945],[84.55933858590207],[78.42294980384584],[53.08877700598751],[111.4969768430281],[79.62569317834213],[110.54157548440517],[104.87167866040404],[78.24977186620012],[114.72819745022599],[129.97834219380758],[237.1546958810812],[154.66582720214166],[90.22874474788495],[148.12871633531404],[313.1309751627158],[174.3301031759989],[100.83920742473748],[216.4784255840259]
FERNANDO,7,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 4  1 48 ...  0  0  0]
 [33 78 18 ...  0  0  0]
 [48 52 54 ...  0  0  0]]","[490.171142578125, 206.78546142578125, 2.390014171600342]","[442.65106201171875, 316.1630859375, 0.16286230087280273]","[359.1310119628906, 280.18359375, 0.1584136039018631]","[478.65106201171875, 441.3717041015625, 0.36852696537971497]","[308.7309875488281, 408.27056884765625, 0.4240151345729828]","[553.5311279296875, 542.1142578125, 0.6920642852783203]","[330.33099365234375, 549.3101196289062, 0.5839067101478577]","[436.8910827636719, 547.8709716796875, 0.13534918427467346]","[383.61102294921875, 555.0668334960938, 0.09793978929519653]","[360.571044921875, 753.673583984375, 0.3172949254512787]","[454.17108154296875, 736.4034423828125, 0.3156682252883911]","[301.531005859375, 949.4019775390625, 0.20279312133789062]","[399.4510498046875, 949.4019775390625, 0.1593024879693985]","[400.89105224609375, 298.17333984375]","[410.25103759765625, 551.4688720703125]",[134.33158111268648],[87.88372203109068],[73.95899061732257],[53.377264419423064],[111.4787854427915],[81.29288607237997],[110.34684342935161],[106.78555301954631],[68.73844399323683],[104.40789935531637],[133.55214091840423],[230.6531524939049],[159.4182738021005],[88.17296253345658],[149.81410062958847],[298.03844748644946],[176.4387095901947],[76.43018567528328],[215.66945536207956]
FERNANDO,8,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [21 74  7 ...  0  0  0]
 [72  3  2 ...  0  0  0]
 [50 22  3 ...  0  0  0]]","[505.43548583984375, 211.53868103027344, 2.422304391860962]","[456.5565490722656, 312.2138671875, 0.1550804078578949]","[377.48773193359375, 282.0113220214844, 0.17691688239574432]","[495.3721618652344, 435.9005126953125, 0.5432085990905762]","[327.1712341308594, 412.8890686035156, 0.4457869231700897]","[567.2528686523438, 532.2610473632812, 0.6031094193458557]","[345.8602294921875, 552.3961181640625, 0.6273621320724487]","[446.4932556152344, 556.7107543945312, 0.10313112288713455]","[399.0519714355469, 559.5872192382812, 0.09921231865882874]","[365.9868469238281, 753.7465209960938, 0.2737746238708496]","[470.93267822265625, 745.1172485351562, 0.3266773521900177]","[301.2941589355469, 955.096923828125, 0.24932235479354858]","[469.4950866699219, 968.0408935546875, 0.31578749418258667]","[417.02215576171875, 297.11260986328125]","[422.7726135253906, 558.1489868164062]",[135.93496080326858],[88.7380162028805],[72.57698580435492],[53.278685740713115],[111.02946490169826],[82.36982675953276],[112.22432543262389],[107.81190328533246],[68.82192084023889],[90.36948429962142],[132.8030553996119],[231.6712430313318],[160.7016999363582],[90.12369827518216],[151.3403618578345],[295.69404136577333],[175.58757785270856],[72.29163677338833],[201.5475634593825]
FERNANDO,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 68  19   1 ...   0   0   0]
 [ 36   0   1 ... 139 124  62]
 [ 58  17   2 ...   1   1   7]]","[525.3467407226562, 212.70831298828125, 1.7379238605499268]","[477.9159240722656, 319.1842346191406, 0.19292163848876953]","[394.55267333984375, 287.52923583984375, 0.2542009651660919]","[512.4110107421875, 444.3653869628906, 0.6566116809844971]","[345.6845397949219, 414.1492614746094, 0.5492696762084961]","[587.1505126953125, 540.769287109375, 0.8715793490409851]","[360.0575256347656, 558.03564453125, 0.8694802522659302]","[464.980224609375, 552.2802124023438, 0.11504220962524414]","[421.861328125, 558.03564453125, 0.12162140756845474]","[368.68133544921875, 760.9154052734375, 0.35239356756210327]","[490.8515625, 746.52685546875, 0.3956170976161957]","[301.1283264160156, 953.7232666015625, 0.267838716506958]","[525.3467407226562, 965.234130859375, 0.3179733157157898]","[436.23431396484375, 303.35675048828125]","[443.4207763671875, 555.157958984375]",[134.5104340903252],[88.36520950367739],[74.59385165546769],[52.214484917517204],[111.10375414159707],[84.29557805371218],[114.77643626683476],[109.30864375071314],[69.89671715070804],[81.03697137263092],[133.8547754133522],[233.80090852028286],[157.62063326204952],[90.31078826512223],[153.19182391211513],[302.3793136988048],[174.53220748387838],[77.49943521670627],[191.14025422192287]
FERNANDO,10,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [70  1  1 ...  1  0  0]
 [55  2  3 ...  0  0  0]
 [28 39  2 ...  0  0  1]]","[541.7718505859375, 218.0425262451172, 2.6181702613830566]","[488.5213623046875, 317.35443115234375, 0.24239064753055573]","[413.682861328125, 287.1290588378906, 0.27897435426712036]","[525.940673828125, 442.57379150390625, 0.6320456266403198]","[363.31072998046875, 422.4235534667969, 0.5522544384002686]","[602.2183837890625, 539.007080078125, 0.7806215882301331]","[380.5811767578125, 564.9144897460938, 0.8205791711807251]","[481.32537841796875, 553.4000854492188, 0.0750221386551857]","[442.4668884277344, 564.9144897460938, 0.13375449180603027]","[380.5811767578125, 757.7811279296875, 0.3730074465274811]","[504.3525695800781, 746.2666625976562, 0.4104580283164978]","[302.8642272949219, 949.2084350585938, 0.28610584139823914]","[577.751953125, 963.6013793945312, 0.29423797130584717]","[451.10211181640625, 302.24176025390625]","[461.8961181640625, 559.1572875976562]",[137.11909266110138],[87.5941995010396],[73.36227229776961],[51.65637637312731],[110.42103932176751],[83.08924122868771],[116.2397671928742],[112.0965004999925],[71.15800448588615],[71.33888489302561],[130.47510683993823],[231.36975942223074],[158.29410407535772],[88.42848627130495],[152.66820190692022],[312.7451703727887],[175.8567333071183],[87.66343218023822],[180.18088040713945]
