etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
JULIO,1,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1   2   0 ... 143 157 111]
 [  1   1   2 ...   3  59  31]
 [  3   1   5 ...  19  66   2]]","[351.99066162109375, 230.24166870117188, 1.6126691102981567]","[305.9976806640625, 323.6896667480469, 0.2238193154335022]","[249.94374084472656, 307.8753662109375, 0.3056113123893738]","[313.18408203125, 468.8934326171875, 0.2375219166278839]","[226.94728088378906, 450.2038269042969, 0.6760229468345642]","[356.302490234375, 569.5297241210938, 0.6839969158172607]","[249.94374084472656, 588.2193603515625, 0.7795551419258118]","[297.3739929199219, 572.4050903320312, 0.07015655189752579]","[283.0011901855469, 570.9674072265625, 0.14464062452316284]","[248.5064697265625, 757.8634033203125, 0.3782854378223419]","[298.811279296875, 767.9269409179688, 0.3216085433959961]","[84.65653991699219, 877.1892700195312, 0.22286629676818848]","[304.5603942871094, 957.6983032226562, 0.28779473900794983]","[277.970703125, 315.78253173828125]","[290.1875915527344, 571.686279296875]",[130.8701913435277],[87.26676494215182],[87.16663839486641],[66.80690791592627],[99.17814116362743],[80.54015341452191],[104.76167854071868],[143.935528307359],[85.41066499984957],[88.26475763463222],[136.39657359862414],[251.41150693626267],[159.64026952105985],[83.42294376558299],[161.36201225089448],[279.04973635690794],[219.17384976664033],[79.69824101532465],[182.85409263478266]
JULIO,2,"[[  0   0   0 ...   1   0   0]
 [  0   0   0 ...   1   1   0]
 [  0   0   0 ...   2   0   0]
 ...
 [  0   0   0 ...   1   2   0]
 [  0   0   0 ...   1   1   0]
 [  0   0   0 ... 131  86   7]]","[1757.3753662109375, 534.5744018554688, 0.02718924917280674]","[1720.9271240234375, 519.11328125, 0.01860528439283371]","[1744.758544921875, 520.518798828125, 0.022871006280183792]","[1757.3753662109375, 551.441162109375, 0.011117731221020222]","[1751.7679443359375, 534.5744018554688, 0.023661362007260323]","[1757.3753662109375, 551.441162109375, 0.02381061762571335]","[1757.3753662109375, 535.97998046875, 0.014818837866187096]","[1722.328857421875, 548.6300048828125, 0.008905275724828243]","[1744.758544921875, 550.0355834960938, 0.01636744663119316]","[1739.151123046875, 523.3299560546875, 0.01935272477567196]","[1737.7493896484375, 523.3299560546875, 0.013044578023254871]","[1757.3753662109375, 551.441162109375, 0.02146238647401333]","[1751.7679443359375, 545.8189086914062, 0.01112053170800209]","[1732.8427734375, 519.8160400390625]","[1733.543701171875, 549.332763671875]",[-148.96964907089367],[88.63966424403533],[41.5715212386704],[0.0],[63.494991196438455],[14.072042596727398],[-56.379653509853256],[57.04501986309297],[-104.70615235233085],[58.06252841047919],[57.60931331492897],[38.19625207582504],[138.42847876132961],[240.1197565313682],[130.57705140028895],[300.0346938911893],[293.42467337294624],[71.70788444451459],[342.76868076281005]
JULIO,3,"[[  0   0   0 ...  94 155  55]
 [  0   0   0 ... 184  40   1]
 [  0   0   0 ... 161   4   1]
 ...
 [  0   0   0 ...  83  55  11]
 [  0   0   0 ...  10  65  53]
 [  0   0   0 ...  29  74  17]]","[368.9713134765625, 226.97096252441406, 1.9722915887832642]","[321.4685363769531, 321.9947509765625, 0.15730789303779602]","[273.96575927734375, 303.2779235839844, 0.32685837149620056]","[331.5448913574219, 471.72918701171875, 0.15200884640216827]","[249.49464416503906, 453.01239013671875, 0.6691897511482239]","[358.8949890136719, 576.8311767578125, 0.4663054645061493]","[282.6026306152344, 585.4697265625, 0.7548356652259827]","[322.90802001953125, 575.3914794921875, 0.11787625402212143]","[295.5579528808594, 576.8311767578125, 0.11258041113615036]","[295.5579528808594, 758.2401733398438, 0.15067899227142334]","[298.4368896484375, 765.43896484375, 0.2265709936618805]","[117.06263732910156, 866.2218017578125, 0.1973537802696228]","[301.31585693359375, 955.4865112304688, 0.2519530951976776]","[297.7171630859375, 312.6363525390625]","[309.23297119140625, 576.111328125]",[129.75276644355893],[87.4973428496974],[86.15009421394164],[75.4137437286788],[99.28179699258806],[75.96634079068922],[98.50709445805028],[148.82795051512755],[89.12549678427905],[89.13211161222509],[137.74457640613846],[244.64490775134206],[169.26364951473715],[77.77657191374992],[156.68454379810117],[281.5203383117271],[230.32085605707726],[92.13874735000834],[180.00661482794607]
JULIO,4,"[[  0   0   0 ...  93  88 118]
 [  0   0   0 ...  19 191  69]
 [  0   0   0 ... 143  69  11]
 ...
 [  0   0   0 ... 141  95  12]
 [  0   0   0 ... 162  50 144]
 [  0   0   0 ...  87 144  16]]","[387.16754150390625, 223.88467407226562, 1.2450605630874634]","[331.1830749511719, 313.1528015136719, 0.12998372316360474]","[289.5536193847656, 301.63433837890625, 0.29206109046936035]","[324.0055847167969, 474.411376953125, 0.07036472856998444]","[272.3276062011719, 451.37445068359375, 0.5682975053787231]","[364.19952392578125, 572.3184204101562, 0.21159616112709045]","[311.0860900878906, 586.7164916992188, 0.6836130619049072]","[345.5380554199219, 582.3970336914062, 0.12377119809389114]","[301.03759765625, 585.2766723632812, 0.09427919238805771]","[334.0540771484375, 753.7343139648438, 0.2254410684108734]","[308.215087890625, 769.5722045898438, 0.32556259632110596]","[154.61666870117188, 863.1597900390625, 0.18611671030521393]","[302.4730529785156, 958.1871337890625, 0.26130539178848267]","[310.36834716796875, 307.3935546875]","[323.287841796875, 583.8368530273438]",[132.6032869752249],[87.3242458638779],[92.54850729199542],[67.6802985037573],[96.56242457105975],[74.01964756711993],[93.83454680231078],[148.6241035062494],[87.76971169531343],[91.74372616394027],[134.72095888865303],[257.0822224235653],[155.13179121176188],[81.09621773319266],[157.4572229960602],[277.53701514198764],[234.78955670393864],[91.47217497095231],[183.97401446862685]
JULIO,5,"[[  0   0   0 ...  92  41 123]
 [  0   0   0 ...   5  21  94]
 [  0   0   0 ...   3   4   5]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[1767.9154052734375, 537.6883544921875, 0.01683690771460533]","[1736.5546875, 522.2490234375, 0.017124509438872337]","[1759.362548828125, 520.845458984375, 0.04038132727146149]","[1728.001708984375, 537.6883544921875, 0.006199680268764496]","[1763.638916015625, 534.8812255859375, 0.02076122537255287]","[1767.9154052734375, 553.1277465820312, 0.007544998545199633]","[1767.9154052734375, 553.1277465820312, 0.007512133102864027]","[1737.9801025390625, 550.320556640625, 0.008796043694019318]","[1755.0859375, 553.1277465820312, 0.011765564791858196]","[1728.001708984375, 553.1277465820312, 0.0037322035059332848]","[1747.95849609375, 525.0562133789062, 0.008724870160222054]","[1726.5762939453125, 553.1277465820312, 0.004512782674282789]","[1762.2135009765625, 548.9169921875, 0.008258755318820477]","[1747.9586181640625, 521.5472412109375]","[1746.532958984375, 551.72412109375]",[-141.0339571462918],[92.70483774681061],[118.98528607776954],[21.147437247045442],[73.0552572815926],[76.8095056742355],[164.28728229352362],[180.0],[-104.2465106478742],[59.144886515532285],[53.7387948931024],[122.50674885459105],[82.16215116927592],[256.57672005841414],[183.75424839264292],[154.9678383933592],[195.71271770647638],[66.43377798026883],[343.39139716340645]
JULIO,6,"[[  0   0   0 ...  67  66  98]
 [  0   0   0 ...   4 112 182]
 [  0   0   0 ... 103 190  41]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[407.0585021972656, 227.406494140625, 0.735007107257843]","[349.64007568359375, 310.9205322265625, 0.130763441324234]","[309.4471130371094, 303.72100830078125, 0.26140618324279785]","[353.9464111328125, 472.18896484375, 0.07495369762182236]","[296.5279846191406, 447.7107238769531, 0.5385480523109436]","[386.9620361328125, 567.22216796875, 0.1617012768983841]","[342.4627380371094, 581.62109375, 0.778640866279602]","[371.1719665527344, 575.861572265625, 0.13858015835285187]","[323.8017272949219, 584.5009155273438, 0.12107907235622406]","[374.0428771972656, 750.0890502929688, 0.43935948610305786]","[313.75347900390625, 770.2476196289062, 0.3190734088420868]","[193.17471313476562, 871.0404052734375, 0.18087972700595856]","[303.70526123046875, 961.75390625, 0.2935914695262909]","[329.5435791015625, 307.3207702636719]","[347.4868469238281, 580.1812744140625]",[134.1268318711627],[86.23765471788947],[88.47039979786591],[70.84218652821593],[95.12699674666025],[71.06669319000578],[89.05596878348172],[146.228299623898],[93.09648346851651],[93.00352027418207],[132.1108228467268],[258.31505742271736],[162.37178673035],[84.97163927103018],[155.93969644334555],[279.3919953884684],[237.1723308404163],[103.43236717864883],[179.90703680566557]
JULIO,7,"[[  0   0   0 ... 117  75  13]
 [  0   0   0 ... 121 108  75]
 [  0   0   0 ...  16  84 110]
 ...
 [  4   4   6 ...   0   0   0]
 [ 19  19  19 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[425.3487854003906, 226.65802001953125, 0.9040716886520386]","[367.99713134765625, 311.5018310546875, 0.09448232501745224]","[327.8509826660156, 302.8736572265625, 0.20614852011203766]","[379.4674377441406, 473.999267578125, 0.07005158066749573]","[317.8144226074219, 448.1147155761719, 0.4039762020111084]","[400.97430419921875, 578.9755249023438, 0.13867521286010742]","[375.16607666015625, 578.9755249023438, 0.4384765625]","[385.2026062011719, 568.9093017578125, 0.07292655110359192]","[333.58612060546875, 584.7276611328125, 0.10601292550563812]","[405.27569580078125, 738.596923828125, 0.1999358981847763]","[329.28472900390625, 770.2335815429688, 0.19508470594882965]","[253.29380798339844, 872.333740234375, 0.25469788908958435]","[300.6089172363281, 955.7395629882812, 0.1903037130832672]","[347.924072265625, 307.187744140625]","[359.39434814453125, 576.8184814453125]",[133.8738454083583],[87.56406710868593],[85.9623247750901],[78.42182264055432],[93.9530131720598],[66.33386458381563],[83.2535843196692],[138.65376206983785],[91.32829954961994],[98.78732148317522],[133.6902217003276],[253.83286659233752],[172.45949786546421],[81.8235728839547],[152.38085141175586],[280.29175268964457],[235.40017775016867],[108.36648689988087],[187.45902193355528]
JULIO,8,"[[  0   0   0 ...   0   1   0]
 [  0   0   0 ...   0   1   0]
 [  0   0   0 ...   1   1   0]
 ...
 [188  83   2 ...   0   0   0]
 [ 42   4   2 ...   0   0   0]
 [166 168 158 ...   0   0   0]]","[438.806884765625, 227.35958862304688, 2.2969086170196533]","[381.3174743652344, 316.5631103515625, 0.08705786615610123]","[346.8238220214844, 302.1754455566406, 0.2627485990524292]","[395.6898193359375, 470.5111389160156, 0.05987982824444771]","[342.5121154785156, 444.6133728027344, 0.4722406566143036]","[420.122802734375, 579.857421875, 0.15906445682048798]","[402.87603759765625, 569.7860717773438, 0.5128479599952698]","[395.6898193359375, 576.9798583984375, 0.0472688190639019]","[351.13555908203125, 584.1737060546875, 0.09166494011878967]","[437.36968994140625, 738.1217651367188, 0.3206534683704376]","[332.45147705078125, 781.2847290039062, 0.19256091117858887]","[290.77166748046875, 887.7535400390625, 0.08650415390729904]","[302.26953125, 958.2530517578125, 0.18990682065486908]","[364.0706481933594, 309.3692626953125]","[373.4126892089844, 580.5767822265625]",[132.34322543157882],[88.02716394963171],[84.66641607780224],[77.40439503470039],[91.7338582284081],[64.25453816252933],[75.49808705978595],[134.41324223296067],[95.41486707321566],[99.67866955543782],[135.6839385180529],[242.02484308024162],[172.73797895689816],[69.09237158880823],[152.52067993412123],[264.6700555372422],[238.91515517317475],[104.5868355506719],[184.26380248222216]
JULIO,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 47  26   3 ...  54   3   1]
 [  7   3  32 ...  46  82  84]
 [  1  19 187 ...   0   1   1]]","[458.9422912597656, 226.0925750732422, 2.451091766357422]","[401.40972900390625, 318.2137756347656, 0.08302929997444153]","[365.451904296875, 303.8198547363281, 0.24110549688339233]","[395.6564636230469, 463.5925598144531, 0.055365532636642456]","[365.451904296875, 446.31982421875, 0.5189389586448669]","[440.2442321777344, 575.865234375, 0.09478497505187988]","[431.61431884765625, 571.5470581054688, 0.677242636680603]","[404.286376953125, 572.9864501953125, 0.05660894140601158]","[372.6434631347656, 587.3804321289062, 0.06974957883358002]","[469.0104675292969, 732.7592163085938, 0.3046329915523529]","[336.68560791015625, 774.5015258789062, 0.228281170129776]","[355.3836669921875, 886.7743530273438, 0.0676523968577385]","[302.1660461425781, 950.1076049804688, 0.18378230929374695]","[383.4308166503906, 311.0168151855469]","[388.46490478515625, 580.1834716796875]",[131.64230491507985],[88.9285508648719],[92.2662584730997],[68.34008219841549],[90.0],[62.15076539827445],[67.94708643654099],[126.41856512509538],[100.87756309390647],[101.12105452382373],[137.28624594979203],[250.45002760804965],[156.0738237253158],[68.18376913495],[152.15076539827444],[272.4073758109302],[238.47147868855444],[125.33771098453654],[180.24349142991724]
JULIO,10,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1 109 101 ...   2   1   0]
 [ 55 151   2 ...   0   1   1]
 [170  34   4 ...   0   0   0]]","[476.53228759765625, 229.1708221435547, 1.8085782527923584]","[420.4022521972656, 319.89013671875, 0.08468066900968552]","[382.9822082519531, 305.490234375, 0.280447393655777]","[430.4768981933594, 466.7690124511719, 0.07250663638114929]","[385.8606872558594, 445.169189453125, 0.7460304498672485]","[472.2146301269531, 586.2881469726562, 0.17254148423671722]","[457.8222961425781, 566.1282958984375, 0.8796346783638]","[437.67303466796875, 580.5281982421875, 0.07891184091567993]","[384.42144775390625, 586.2881469726562, 0.09283629059791565]","[493.8030700683594, 734.6069946289062, 0.3754402995109558]","[348.4406433105469, 767.7267456054688, 0.2626001834869385]","[395.9352722167969, 901.6458129882812, 0.2048436850309372]","[305.263671875, 950.6053466796875, 0.2100803405046463]","[401.6922302246094, 312.690185546875]","[411.0472412109375, 583.408203125]",[131.8628922271148],[88.0208578256107],[86.07614109062773],[70.750093289624],[88.81942589470118],[59.250523822357756],[69.98360343789237],[120.36597472548439],[101.21671033975912],[103.28406575707393],[136.1579655984959],[245.0285232556465],[164.6739521989963],[67.77180805971994],[150.43109792765657],[256.15705568258386],[230.382371287592],[107.39003276237656],[182.06735541731481]
