etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
MARCO,1,"[[  0   0   0 ...   7   0   0]
 [  0   0   0 ...   7   0   0]
 [  0   0   0 ...   2   0   0]
 ...
 [ 74  21   2 ...  10   1   1]
 [  7   7   1 ...   5   1   0]
 [117 136  57 ...   2   0   5]]","[385.6739807128906, 178.9576416015625, 2.2394020557403564]","[300.8072814941406, 246.54795837402344, 0.12889257073402405]","[241.8320770263672, 242.2336883544922, 0.24743489921092987]","[277.7925720214844, 406.1761779785156, 0.09376007318496704]","[214.50209045410156, 388.9190673828125, 0.6679114699363708]","[323.8219909667969, 526.9758911132812, 0.0999993160367012]","[250.46258544921875, 537.0425415039062, 0.8625852465629578]","[316.6298828125, 534.1663818359375, 0.21078582108020782]","[261.9699401855469, 524.0997314453125, 0.1187717616558075]","[307.9993591308594, 744.1277465820312, 0.3409474790096283]","[263.40838623046875, 729.7468872070312, 0.6592783331871033]","[312.3146057128906, 949.7749633789062, 0.3126138746738434]","[74.97541809082031, 895.1273803710938, 0.24913980066776276]","[271.3196716308594, 244.3908233642578]","[289.2999267578125, 529.133056640625]",[150.2219436549699],[86.38681367889062],[98.20419548595032],[69.14120107928967],[100.5541649267627],[76.35409153880359],[92.35383475847242],[88.79789699395181],[89.5992381073802],[138.72779848901357],[116.16487002392071],[274.02023600946086],[150.93700559333936],[96.3702032929105],[155.7999266120409],[261.91867173369144],[176.44406223547938],[79.16408647888142],[229.12856038163335]
MARCO,2,"[[  0   0   0 ... 135  46   1]
 [  0   0   0 ... 120  42   1]
 [  0   0   0 ... 120  44   0]
 ...
 [  0   1   0 ...   2   2   1]
 [  1   1   1 ... 153 169 163]
 [  0   0   0 ...  93  28 142]]","[401.3998107910156, 176.80227661132812, 0.9954702854156494]","[329.63653564453125, 258.80316162109375, 0.13080866634845734]","[263.61431884765625, 238.66261291503906, 0.22429917752742767]","[335.3775939941406, 432.875244140625, 0.11628908663988113]","[232.0384979248047, 385.4010314941406, 0.6322594881057739]","[362.64764404296875, 547.9641723632812, 0.42080745100975037]","[270.7906494140625, 537.8938598632812, 0.9631262421607971]","[333.94232177734375, 532.1394653320312, 0.1729808747768402]","[290.8843688964844, 532.1394653320312, 0.13331426680088043]","[318.1544189453125, 742.1767578125, 0.1982431709766388]","[308.1075744628906, 733.5450439453125, 0.4178345203399658]","[310.97808837890625, 949.3369140625, 0.27190640568733215]","[112.91148376464844, 893.2310791015625, 0.14592164754867554]","[296.62542724609375, 248.73287963867188]","[312.413330078125, 532.1394653320312]",[145.5292907559337],[86.81148482595975],[88.111016885977],[76.66974329249956],[102.14397920692815],[75.74156214082811],[94.29867613190189],[91.98401616410484],[85.11224057011748],[140.71408474893505],[121.28219407002605],[251.14630362632482],[168.55872640652257],[85.17929017645224],[153.5975829339],[274.29867613190186],[177.685340032203],[85.11224057011748],[235.60184417881757]
MARCO,3,"[[ 0  0  0 ... 77 44 95]
 [ 0  0  0 ...  6  2  1]
 [ 0  0  0 ...  1  1  2]
 ...
 [ 0  0  0 ...  2  1  0]
 [ 0  0  0 ... 14  3  2]
 [ 0  0  0 ...  5 33 77]]","[416.9854736328125, 178.54530334472656, 2.281330108642578]","[347.9682922363281, 259.1475524902344, 0.11193373799324036]","[281.8268737792969, 241.87562561035156, 0.22016999125480652]","[359.4711608886719, 436.1845703125, 0.20737551152706146]","[250.1940155029297, 390.12615966796875, 0.618213415145874]","[401.1690368652344, 552.7698974609375, 0.3711525797843933]","[289.0161437988281, 538.376708984375, 0.8817883729934692]","[353.7197265625, 522.5441284179688, 0.13669456541538239]","[307.70831298828125, 518.2261352539062, 0.10000495612621307]","[326.4004211425781, 732.6856079101562, 0.21658672392368317]","[337.9032897949219, 721.1710205078125, 0.24380159378051758]","[313.459716796875, 947.1450805664062, 0.27259954810142517]","[168.23614501953125, 879.496826171875, 0.2511780858039856]","[314.8975830078125, 250.5115966796875]","[330.7140197753906, 520.3851318359375]",[144.81828896989296],[86.64591171676224],[86.28246835708143],[70.31991596602613],[102.04482177377018],[75.32555864595221],[97.40715694687111],[93.45309915411325],[81.5373781606478],[136.98038424416342],[121.82762274686927],[251.6472973805672],[164.03744760894472],[87.40962604870369],[153.28073687218202],[272.04587201718044],[176.04594220724215],[76.17609323095711],[235.4430060835156]
MARCO,4,"[[0 0 0 ... 2 0 0]
 [0 0 0 ... 6 0 0]
 [0 0 0 ... 3 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[434.7738037109375, 180.20309448242188, 1.5614677667617798]","[371.4391784667969, 265.05316162109375, 0.08909611403942108]","[292.2708740234375, 244.91928100585938, 0.16225814819335938]","[377.19683837890625, 429.00079345703125, 0.1928766816854477]","[267.8006896972656, 390.1711120605469, 0.46495816111564636]","[436.21319580078125, 549.8043212890625, 0.4702708125114441]","[303.7862548828125, 538.2991943359375, 0.8141400814056396]","[355.6054992675781, 522.479736328125, 0.07140692323446274]","[328.2564697265625, 509.5364685058594, 0.09439686685800552]","[329.6958923339844, 736.7621459960938, 0.23416444659233093]","[382.9545593261719, 715.1900634765625, 0.3808068335056305]","[312.42279052734375, 945.2919921875, 0.22034643590450287]","[213.1025848388672, 880.5758666992188, 0.17078976333141327]","[331.85504150390625, 254.98622131347656]","[341.93096923828125, 516.0081176757812]",[143.99698707679073],[87.78937457536682],[87.98866206398718],[63.96302277815423],[99.56267335356969],[76.34534311167131],[96.89435682844966],[94.7351573274887],[75.10575046706658],[135.76327205201468],[123.7923874985761],[253.71983095443798],[155.97436071416706],[85.29385279540561],[156.78266975810163],[251.56799926063752],[177.84080049903903],[49.779238989014914],[240.6575215849481]
MARCO,5,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[451.63568115234375, 179.51113891601562, 0.859640896320343]","[389.90435791015625, 267.3170166015625, 0.08997368067502975]","[309.51007080078125, 245.72540283203125, 0.1660327911376953]","[408.56732177734375, 424.216064453125, 0.31971481442451477]","[286.540283203125, 392.5483703613281, 0.5511044859886169]","[467.42742919921875, 537.931884765625, 0.7622786164283752]","[319.5593566894531, 536.4923706054688, 0.9757336974143982]","[365.49896240234375, 522.0980224609375, 0.04712262377142906]","[349.7072448730469, 507.70361328125, 0.11309856921434402]","[333.9154968261719, 743.7717895507812, 0.2882660925388336]","[414.30975341796875, 700.588623046875, 0.27992236614227295]","[320.9949645996094, 938.0963134765625, 0.1410829871892929]","[283.6690368652344, 904.9892578125, 0.10166817158460617]","[349.70721435546875, 256.5212097167969]","[357.60308837890625, 514.9008178710938]",[142.9278386684327],[88.24963156991389],[83.21660453712649],[62.633598636243384],[98.89159130404605],[77.08052537692141],[98.10876948888142],[93.80396631963573],[71.48288155373255],[122.58429201853836],[125.32179290148117],[248.1833429301111],[159.4169940991169],[83.85832969703065],[158.1889340728754],[235.75914019657603],[175.69519683075433],[29.133142010521397],[231.1014104648058]
MARCO,6,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [54 62 22 ...  0  0  0]
 [53  2  1 ...  0  0  0]
 [ 4  1  0 ...  0  0  0]]","[467.1808776855469, 178.64231872558594, 2.409986972808838]","[405.3985900878906, 259.2303466796875, 0.09078220278024673]","[327.8115234375, 243.40054321289062, 0.17629863321781158]","[428.3873291015625, 423.2845764160156, 0.32707488536834717]","[303.385986328125, 391.625, 0.5468296408653259]","[495.9168395996094, 532.654052734375, 0.5464842319488525]","[337.8691101074219, 535.5321655273438, 0.7209513783454895]","[391.03057861328125, 505.3116455078125, 0.04267944023013115]","[366.60504150390625, 502.43353271484375, 0.11114755272865295]","[346.4898986816406, 729.806884765625, 0.37051212787628174]","[448.5025329589844, 698.1473388671875, 0.31982553005218506]","[307.69635009765625, 941.3504638671875, 0.10908976942300797]","[332.1219177246094, 909.69091796875, 0.12472648173570633]","[366.60504150390625, 251.31544494628906]","[378.81781005859375, 503.8725891113281]",[144.1492371239859],[87.23153566327915],[82.02314619045836],[58.30699898400946],[99.35753181567887],[76.52482167510598],[101.22196051059962],[100.39162468024078],[67.29286633935948],[118.81737405425392],[123.08229853929323],[250.49157260605165],[156.2838527935511],[87.82594940276175],[157.16728985942714],[274.50166551902873],[179.16966416964118],[60.57257134778859],[231.52450771489444]
MARCO,7,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [88 20 60 ...  0  0  0]
 [ 4  0  0 ...  0  0  0]
 [ 1  1  1 ...  0  0  0]]","[483.69781494140625, 180.01138305664062, 0.820792555809021]","[428.9736328125, 266.38494873046875, 0.11064229905605316]","[349.767578125, 247.67066955566406, 0.15240061283111572]","[454.8956298828125, 429.05511474609375, 0.34286320209503174]","[318.08514404296875, 391.6265869140625, 0.4873921573162079]","[528.3412475585938, 524.0660400390625, 0.7130151987075806]","[354.0879211425781, 538.4616088867188, 0.7169168591499329]","[380.0099182128906, 525.5055541992188, 0.048502422869205475]","[387.21044921875, 509.67041015625, 0.12059033662080765]","[355.5280456542969, 737.1207885742188, 0.336061954498291]","[475.05718994140625, 701.1317749023438, 0.44596537947654724]","[308.00439453125, 948.7359008789062, 0.233908548951149]","[385.7703552246094, 925.7029418945312, 0.20267444849014282]","[389.37060546875, 257.0278015136719]","[383.61016845703125, 517.5880126953125]",[140.76899906646074],[91.26648259829251],[80.94586555989355],[52.29515676045469],[102.41202427612144],[76.22332029983384],[96.59923975891745],[102.65725230218992],[65.35328808252554],[111.68218217769092],[130.4974835318318],[247.65218467206503],[151.34929120056114],[89.11836429676691],[153.8112960237124],[162.14708258060264],[186.0580125432725],[310.9011143309266],[226.3288940951654]
MARCO,8,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [16  2  1 ...  0  0  0]
 [ 7 50 62 ...  0  0  0]
 [ 0  0  2 ...  0  0  0]]","[499.5147399902344, 178.62847900390625, 2.894550323486328]","[440.51910400390625, 263.4576721191406, 0.13226096332073212]","[370.01214599609375, 246.20428466796875, 0.20184151828289032]","[470.73638916015625, 424.4894104003906, 0.43237364292144775]","[338.3559265136719, 394.29595947265625, 0.5602160096168518]","[551.3158569335938, 520.8208618164062, 0.718576192855835]","[375.767822265625, 539.5120239257812, 0.6976345181465149]","[439.0802001953125, 506.4430236816406, 0.07399053871631622]","[405.98504638671875, 507.8808288574219, 0.14759889245033264]","[361.3786315917969, 743.67724609375, 0.3199450373649597]","[489.44232177734375, 699.1060180664062, 0.4292794466018677]","[312.4554138183594, 944.9669189453125, 0.27422255277633667]","[447.71368408203125, 939.2157592773438, 0.23831874132156372]","[405.265625, 254.8309783935547]","[422.5326232910156, 507.16192626953125]",[141.04369246945978],[86.08535443875947],[79.37215263420589],[50.08814501152135],[102.06600809849357],[75.55309381988249],[108.13522695198407],[103.66078939722645],[66.42188175191326],[99.85895596915348],[125.04166196929967],[245.62181176014133],[150.71599237731544],[88.31566722442899],[153.4870857213889],[290.6228539453912],[175.5255624452424],[68.90950874532041],[213.43707421724022]
MARCO,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  2   0   1 ...   0   0   0]
 [  4   1   4 ...   0   0   0]
 [  6  49  81 ... 163  80   3]]","[519.2171630859375, 177.371337890625, 3.619584083557129]","[466.03497314453125, 275.155517578125, 0.1793299913406372]","[394.1671447753906, 246.3954620361328, 0.2097455859184265]","[491.90740966796875, 426.14581298828125, 0.5385730266571045]","[359.67059326171875, 394.5097351074219, 0.7208306193351746]","[578.1487426757812, 519.615966796875, 0.5633010268211365]","[392.72979736328125, 544.0620727539062, 0.8572069406509399]","[431.5384216308594, 525.3679809570312, 0.07705458998680115]","[427.22637939453125, 510.98797607421875, 0.17686787247657776]","[374.0441589355469, 739.63037109375, 0.4125818610191345]","[506.28094482421875, 707.9943237304688, 0.527148425579071]","[316.5499267578125, 945.2647705078125, 0.2855200171470642]","[510.593017578125, 952.4547729492188, 0.3264853060245514]","[430.10107421875, 260.7754821777344]","[429.38238525390625, 518.177978515625]",[136.8963040207511],[90.15997411855291],[80.27670285454262],[47.303457406530484],[103.11074438297834],[77.53496988523646],[105.02066336034028],[105.62069597600699],[68.13543101289592],[88.98945636567875],[133.26367009780182],[238.4663925740887],[147.02675455198786],[81.30047185849074],[154.42422550225814],[211.71285708853117],[180.60003261566672],[354.82740161531956],[200.85402535278283]
MARCO,10,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 73  26   4 ...   1   1   2]
 [  2  62  11 ...   4   3   9]
 [  2   6  62 ... 143 163  61]]","[537.5565795898438, 180.6756591796875, 1.080803632736206]","[480.0152587890625, 271.3717956542969, 0.21062903106212616]","[413.8426818847656, 251.2171173095703, 0.25343817472457886]","[520.294189453125, 432.609375, 0.8181278109550476]","[382.1949462890625, 399.49810791015625, 0.8577108979225159]","[602.2906494140625, 516.107421875, 1.0236601829528809]","[413.8426818847656, 549.21875, 1.0343009233474731]","[444.0519104003906, 520.42626953125, 0.07685404270887375]","[448.36749267578125, 516.107421875, 0.16848987340927124]","[386.5105285644531, 732.0505981445312, 0.4536224603652954]","[520.294189453125, 723.4129028320312, 0.46506467461586]","[318.8994445800781, 943.6749877929688, 0.3718816041946411]","[559.1345825195312, 946.5541381835938, 0.3858157694339752]","[446.928955078125, 261.2944641113281]","[446.209716796875, 518.266845703125]",[138.34495420585074],[90.16036435556435],[75.97394563879568],[45.51984947153579],[102.04791827720514],[78.0645916823278],[105.2111749462161],[107.71796649482106],[70.86527455750215],[80.12591338905342],[131.81541014971364],[239.03440879942013],[149.5459038327401],[85.10834252751165],[156.01667340512267],[150.23264056132152],[182.50679154860498],[295.8871453387742],[189.2606388315513]
