etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
MARIO,1,"[[  0   0   0 ...  85  28  76]
 [  0   0   0 ...   0  23 145]
 [  0   0   0 ... 100 128 106]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[296.638427734375, 235.48504638671875, 0.5919418931007385]","[236.2444610595703, 323.31689453125, 0.08899618685245514]","[177.28839111328125, 318.9972839355469, 0.13308680057525635]","[218.989013671875, 470.1832275390625, 0.0514916330575943]","[167.22271728515625, 452.9048156738281, 0.3551386594772339]","[249.18603515625, 598.331298828125, 0.0347922183573246]","[237.68240356445312, 594.01171875, 0.4520185887813568]","[218.989013671875, 615.6096801757812, 0.05693262442946434]","[154.28114318847656, 617.049560546875, 0.06882309168577194]","[259.2516784667969, 763.9158935546875, 0.18656185269355774]","[167.22271728515625, 808.5517578125, 0.14487874507904053]","[126.96005249023438, 925.1808471679688, 0.07625085860490799]","[139.90162658691406, 1007.2532958984375, 0.11687678843736649]","[206.76641845703125, 321.1571044921875]","[186.63507080078125, 616.32958984375]",[136.37055942646637],[93.9016435272527],[96.70100760599429],[76.74061460761718],[94.29877291619006],[63.46541526399295],[74.81124058241156],[129.36329997298975],[86.13387274726395],[97.82897157668745],[137.53108410078633],[272.51056202985586],[160.03960700162287],[90.10826617906042],[149.1666423478029],[256.0859223235482],[234.55205939057822],[87.40866312342816],[191.6950988294235]
MARIO,2,"[[  0   0   0 ...  91  56  36]
 [  0   0   0 ...   6   2   5]
 [  0   0   0 ... 102  77  34]
 ...
 [121  60  31 ...   0   0   0]
 [  2   1   3 ...   0   0   0]
 [  5  39 144 ...   0   0   0]]","[313.80584716796875, 230.22946166992188, 0.5696814060211182]","[249.2974090576172, 319.50079345703125, 0.09201379865407944]","[194.82362365722656, 316.6210632324219, 0.14545106887817383]","[236.3957061767578, 464.9266052246094, 0.037661995738744736]","[189.08953857421875, 449.0881652832031, 0.35835912823677063]","[283.7019348144531, 611.7923583984375, 0.06473426520824432]","[272.2337341308594, 593.0741577148438, 0.46969136595726013]","[247.8638916015625, 611.7923583984375, 0.057335805147886276]","[173.32080078125, 616.1118774414062, 0.07853510975837708]","[280.8348693847656, 764.41748046875, 0.24369917809963226]","[177.62136840820312, 803.293701171875, 0.16961905360221863]","[163.28616333007812, 964.5579833984375, 0.09225728362798691]","[137.4827880859375, 1004.8741455078125, 0.10083545744419098]","[222.06051635742188, 318.0609130859375]","[210.59234619140625, 613.9521484375]",[136.24856493363293],[92.21956228873738],[95.06982121803547],[72.14597828450414],[92.47860713917441],[59.99586848576928],[77.80994955912968],[120.42703347599875],[88.6838410528569],[101.2614110424081],[135.97099735510443],[272.0436925049364],[157.07615706646868],[89.45254244422638],[147.5172613465949],[261.12638360797825],[222.61708391686906],[92.00018158925073],[192.5775699895512]
MARIO,3,"[[  0   0   0 ...  53 154  64]
 [  0   0   0 ...  63 151  34]
 [  0   0   0 ... 117 117  19]
 ...
 [152 108   8 ...   0   0   0]
 [  2   1   4 ...   0   0   0]
 [  2   1   2 ...   0   0   0]]","[331.1671447753906, 236.89598083496094, 0.962107241153717]","[270.9266052246094, 323.2083435058594, 0.0933532565832138]","[212.12034606933594, 317.4541931152344, 0.14008702337741852]","[237.93771362304688, 465.62371826171875, 0.03711659833788872]","[213.55462646484375, 448.36126708984375, 0.3716764450073242]","[306.7840881347656, 589.338134765625, 0.05356321483850479]","[302.4811706542969, 589.338134765625, 0.5281931757926941]","[275.2294921875, 620.9859619140625, 0.08164829015731812]","[190.60586547851562, 618.10888671875, 0.07077338546514511]","[302.4811706542969, 766.2785034179688, 0.30207139253616333]","[179.1314697265625, 799.3648071289062, 0.1928097903728485]","[219.2918243408203, 970.5510864257812, 0.21531808376312256]","[140.4053955078125, 1003.6375122070312, 0.13471251726150513]","[241.52346801757812, 320.3312683105469]","[232.9176788330078, 619.5474243164062]",[137.05433432971054],[91.64743614148234],[103.04189796578932],[60.90430914624195],[89.37226520540028],[57.756754778365284],[79.37679162496026],[112.15845093026006],[93.62227245829742],[100.73475435854283],[134.5931018117718],[277.4533389152918],[137.86241118045263],[83.7837032730722],[148.384489572965],[257.42957189306213],[212.78165930529977],[91.67505272639926],[187.11248190024543]
MARIO,4,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 56 162  42 ...   0   0   0]
 [  5   2   4 ...   0   0   0]
 [  0   2   1 ...   0   0   0]]","[347.86907958984375, 234.649169921875, 0.7070057392120361]","[283.3766174316406, 323.82861328125, 0.07818812876939774]","[228.91632080078125, 319.51348876953125, 0.15784505009651184]","[257.57965087890625, 469.10479736328125, 0.05394567549228668]","[233.2158203125, 450.4058837890625, 0.4544309973716736]","[327.80474853515625, 582.7366943359375, 0.02308833971619606]","[323.5052490234375, 579.8599853515625, 0.6912810206413269]","[289.1092834472656, 623.0112915039062, 0.10482241213321686]","[203.11936950683594, 615.8194580078125, 0.07842028886079788]","[323.5052490234375, 766.8491821289062, 0.271312952041626]","[184.48822021484375, 799.9318237304688, 0.17830292880535126]","[283.3766174316406, 973.9756469726562, 0.27651703357696533]","[141.4932403564453, 996.9896240234375, 0.16641195118427277]","[256.146484375, 321.6710510253906]","[246.11431884765625, 619.4154052734375]",[136.5064466310879],[91.92978763275684],[100.06916247650321],[58.28372120260791],[88.11864826189506],[55.10565791985216],[76.55140444612545],[100.96463120379187],[95.7783443527925],[102.30816866191536],[135.42334100166894],[275.5388326434317],[138.2145587261047],[83.58832348495095],[146.9870096579571],[251.77059502787327],[204.41322675766642],[90.99745247424349],[186.52982430912286]
MARIO,5,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [118  91   5 ...   0   0   0]
 [  2   3   2 ...   0   0   0]
 [  1   1   2 ...   0   0   0]]","[363.3565368652344, 241.12135314941406, 1.8175278902053833]","[303.0094299316406, 325.9558410644531, 0.10136891156435013]","[248.40966796875, 323.0801086425781, 0.268685519695282]","[284.3305969238281, 484.12188720703125, 0.05321603640913963]","[257.03070068359375, 455.3644104003906, 0.5695930123329163]","[343.2408447265625, 567.5184936523438, 0.021348200738430023]","[350.4250183105469, 579.021484375, 0.792656660079956]","[305.88311767578125, 613.5303955078125, 0.13591404259204865]","[221.1098175048828, 612.0925903320312, 0.10960078984498978]","[337.4934997558594, 776.0100708007812, 0.383133202791214]","[189.4994354248047, 801.8917846679688, 0.3185519576072693]","[341.80401611328125, 974.4365234375, 0.3231929540634155]","[140.64700317382812, 998.8803100585938, 0.19172818958759308]","[275.70953369140625, 324.5179748535156]","[263.4964599609375, 612.8115234375]",[136.42348954144842],[92.42578936041747],[96.73522663174678],[54.76312739550439],[86.27127889607377],[52.93739087475463],[78.99064487324544],[88.75553106656318],[99.45562034429739],[103.92814409407792],[136.00229981896905],[273.7202842931581],[138.02790076375763],[83.25633319340305],[146.66611197868085],[258.0190092349831],[189.76488619331775],[98.48390187630112],[184.47252374978052]
MARIO,6,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1 144  48 ...   0   0   0]
 [154   4   1 ...   0   0   0]
 [  5   0   0 ...   0   0   0]]","[383.263916015625, 245.29098510742188, 1.2411060333251953]","[312.697265625, 328.70501708984375, 0.13550183176994324]","[268.05303955078125, 325.82867431640625, 0.2723989486694336]","[306.93670654296875, 491.2185363769531, 0.07172811031341553]","[278.1340026855469, 459.5787353515625, 0.6802235245704651]","[358.7815856933594, 568.8798828125, 0.034329988062381744]","[371.7428283691406, 583.2615966796875, 0.8831090927124023]","[314.13739013671875, 617.7777099609375, 0.17131708562374115]","[239.2503204345703, 619.2159423828125, 0.11930595338344574]","[351.5809020996094, 790.3585205078125, 0.4707140326499939]","[194.6061248779297, 807.6166381835938, 0.33219435811042786]","[391.9046936035156, 971.5682983398438, 0.37036868929862976]","[139.88096618652344, 1003.2080688476562, 0.23299597203731537]","[290.3751525878906, 327.266845703125]","[276.69384765625, 618.496826171875]",[138.57106777353798],[92.6896445983962],[92.03009321409486],[56.27386335188692],[85.68967224344104],[52.87990381736894],[77.75870487731319],[77.45463601753406],[103.3311479442105],[105.63126025134171],[134.11857682485822],[268.3437298990535],[144.24377013779204],[82.0033089283997],[147.1902315739279],[258.85895492034143],[179.69593114022086],[104.43139843549663],[182.30011230713126]
MARIO,7,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1   1   2 ...   0   0   0]
 [  2  60 128 ...   0   0   0]
 [156  16   2 ...   0   0   0]]","[400.8474426269531, 247.39129638671875, 1.0891215801239014]","[337.54925537109375, 339.5126037597656, 0.17274311184883118]","[287.1984558105469, 326.5580139160156, 0.3108995854854584]","[334.67205810546875, 497.8460998535156, 0.11284200847148895]","[295.83001708984375, 466.1793518066406, 0.7251660823822021]","[385.0229187011719, 581.3309936523438, 0.05827128142118454]","[390.7772216796875, 582.7703857421875, 0.8198814392089844]","[328.9176940917969, 618.7553100585938, 0.15858465433120728]","[254.1107635498047, 617.3158569335938, 0.11421266943216324]","[362.00537109375, 791.4827270507812, 0.45374083518981934]","[202.3213653564453, 807.3160400390625, 0.4019950330257416]","[432.49652099609375, 967.0888671875, 0.41244375705718994]","[140.4617919921875, 1003.0737915039062, 0.2426619976758957]","[312.37384033203125, 333.0353088378906]","[291.51422119140625, 618.0355834960938]",[135.93103323431868],[94.18610402878525],[91.04105020406436],[58.90525717430774],[86.46240722606714],[50.841968210499125],[79.15578631665502],[68.12867432620905],[105.24702540256077],[107.53656914400847],[138.25507079446658],[256.6125565908586],[147.86420697024337],[72.03389685276963],[144.379560984432],[258.05342327896733],[168.97288800955403],[104.14466191527359],[182.28954374144772]
MARIO,8,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  4 140   6 ...   0   0   0]
 [162   5   3 ...   0   0   0]
 [  5   1   1 ...   0   0   0]]","[417.13800048828125, 252.63584899902344, 3.0229713916778564]","[350.9780578613281, 344.7750244140625, 0.13311727344989777]","[303.5155029296875, 331.8179626464844, 0.3161507844924927]","[352.41632080078125, 503.13922119140625, 0.10380982607603073]","[316.4598388671875, 470.0267028808594, 0.7775797843933105]","[225.84945678710938, 612.554443359375, 0.08693787455558777]","[408.5084533691406, 589.5196533203125, 0.7781463265419006]","[345.22503662109375, 619.7528076171875, 0.14201641082763672]","[274.7502746582031, 619.7528076171875, 0.11998336017131805]","[384.0580749511719, 793.9534301757812, 0.5371753573417664]","[211.46685791015625, 808.3501586914062, 0.3660935163497925]","[460.2857971191406, 968.154052734375, 0.3651736378669739]","[145.30690002441406, 999.8268432617188, 0.25618547201156616]","[327.24676513671875, 338.2965087890625]","[309.9876708984375, 619.7528076171875]",[136.38048761830723],[93.509022851765],[89.47965428833912],[139.15706003036723],[84.64940779028768],[52.391978181438745],[77.43302579608739],[66.36649526704956],[108.54906190331042],[109.06130450457027],[137.12853523345777],[254.21027828438514],[229.6774057420281],[69.37994449697652],[147.74257039115108],[257.4330257960874],[168.93346947096217],[108.54906190331042],[180.51224260125989]
MARIO,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  5 160   3 ...   0   0   0]
 [ 32   3   2 ...   0   0   0]
 [  0   1   0 ...   0   0   0]]","[440.3390197753906, 260.6139221191406, 1.1297492980957031]","[372.712646484375, 341.205078125, 0.16305939853191376]","[320.9136962890625, 341.205078125, 0.29655131697654724]","[371.2737731933594, 509.5830078125, 0.08340951800346375]","[335.3022766113281, 479.361328125, 0.8560455441474915]","[241.77639770507812, 631.9088134765625, 0.041027117520570755]","[424.5115661621094, 600.248046875, 0.6832744479179382]","[371.2737731933594, 631.9088134765625, 0.1316359043121338]","[292.1365051269531, 623.2740478515625, 0.12903562188148499]","[408.68414306640625, 801.7258911132812, 0.4127061665058136]","[228.82667541503906, 808.9215087890625, 0.3535487651824951]","[467.6773681640625, 980.177734375, 0.4379957318305969]","[143.9339599609375, 997.4472045898438, 0.2567104399204254]","[346.81317138671875, 341.205078125]","[331.70513916015625, 627.5914306640625]",[139.24854823733654],[93.01978360628668],[90.4896090615625],[136.6312622660932],[84.05424290913241],[53.57424205992393],[77.57629423663849],[71.70696926498638],[108.83049476524813],[114.24193545107842],[133.77123536895016],[270.48960906156253],[226.1416532045307],[84.05424290913241],[149.5199991507915],[251.3493138734194],[174.1306750283479],[102.60351440202905],[185.41144068583029]
MARIO,10,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  2   2  25 ...   0   0   0]
 [  7 148  18 ...   0   0   0]
 [165  26   4 ...   0   0   0]]","[452.5193786621094, 263.91424560546875, 2.95235013961792]","[392.0897521972656, 354.6227111816406, 0.15283557772636414]","[340.29296875, 341.66436767578125, 0.3804488480091095]","[380.5793762207031, 511.562744140625, 0.10044506937265396]","[350.36456298828125, 477.00714111328125, 0.6693652868270874]","[441.0090026855469, 603.7110595703125, 0.06496775150299072]","[441.0090026855469, 603.7110595703125, 1.1203467845916748]","[392.0897521972656, 622.4286499023438, 0.17885500192642212]","[312.9557800292969, 622.4286499023438, 0.11920435726642609]","[426.6210021972656, 802.40576171875, 0.4619118869304657]","[252.52618408203125, 803.8455810546875, 0.37328311800956726]","[476.97900390625, 980.943115234375, 0.4120666980743408]","[147.49375915527344, 999.6607055664062, 0.2214834839105606]","[366.19134521484375, 348.1435546875]","[352.52276611328125, 622.4286499023438]",[135.70499445009548],[92.85288769140008],[94.19470577436154],[56.743676121965784],[85.74415266996132],[54.41993296391168],[79.13895275402574],[74.24843624432823],[108.42280675434179],[118.20847084401358],[137.14789324130462],[260.1489788408612],[142.54897034760424],[71.69834630249875],[148.67578029395037],[259.13895275402575],[175.10948349030252],[108.42280675434179],[189.7856640896718]
