etiqueta,frame,mascara,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip,nose_mid_shoulder,mid_shoulder_mid_hip,left_shoulder_left_elbow,left_elbow_left_wrist,right_shoulder_right_elbow,right_elbow_right_wrist,left_hip_left_knee,left_knee_left_ankle,right_hip_right_knee,right_knee_right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
RADAMES,1,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 19 165  23 ...   2   0   0]
 [  4   3 135 ...   4   0   0]
 [  1   1   6 ...   3   0   0]]","[375.37811279296875, 216.70481872558594, 2.517115592956543]","[313.4507141113281, 305.93817138671875, 0.20114727318286896]","[260.1643371582031, 301.62042236328125, 0.3719038665294647]","[323.53192138671875, 465.69464111328125, 0.06078473851084709]","[244.3224334716797, 444.1059265136719, 0.704498291015625]","[355.2156982421875, 576.5166625976562, 0.1604950875043869]","[255.84381103515625, 579.3952026367188, 0.9115424752235413]","[353.7755432128906, 590.9091796875, 0.17714329063892365]","[297.60882568359375, 580.83447265625, 0.18071278929710388]","[363.85675048828125, 775.1328735351562, 0.40695685148239136]","[276.0062255859375, 773.6936645507812, 0.4635540843009949]","[343.6943054199219, 973.7490844726562, 0.34606799483299255]","[95.98467254638672, 907.543701171875, 0.22242073714733124]","[286.8075256347656, 303.779296875]","[325.69219970703125, 585.871826171875]",[135.4880220161057],[82.15159801070092],[86.38921814671244],[74.04488127397964],[96.34423573784294],[85.13237559313332],[86.86774764816663],[95.79650112864228],[96.3911908625997],[143.36837508258458],[126.66357599459522],[261.75671159354937],[167.6556631272672],[91.71172918467984],[168.78813985529038],[256.69865393757414],[188.92875348047565],[86.22210797192753],[226.97718421998488]
RADAMES,2,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  3   4  54 ...   0   0   0]
 [  0   1   1 ...  47   4   2]
 [  0   1   0 ...  43 124  36]]","[392.4237976074219, 214.322265625, 2.6207265853881836]","[332.03753662109375, 310.78155517578125, 0.2017095535993576]","[281.7156982421875, 299.2640380859375, 0.3564760684967041]","[329.1620178222656, 457.6299743652344, 0.04922551289200783]","[264.46246337890625, 443.2330627441406, 0.790471613407135]","[273.0890808105469, 574.2449340820312, 0.2868674099445343]","[270.21356201171875, 574.2449340820312, 0.8753765821456909]","[370.8572998046875, 590.08154296875, 0.17069141566753387]","[316.22210693359375, 587.2021484375, 0.17530731856822968]","[369.4194641113281, 783.0000610351562, 0.3021472990512848]","[323.41094970703125, 771.4824829101562, 0.44680023193359375]","[343.5397033691406, 978.7980346679688, 0.2718545198440552]","[149.44107055664062, 898.1752319335938, 0.1883283257484436]","[306.8766174316406, 305.0227966308594]","[343.5397033691406, 588.641845703125]",[133.3251915727181],[82.63429176446886],[91.12179646951888],[115.68002920942443],[96.83373093174895],[87.4864700175989],[90.42702168950795],[97.52947219365358],[87.76600361157215],[143.9361962893579],[129.30910019175076],[258.2301511939858],[204.55823273990555],[83.94208565621591],[170.65273908584996],[267.4101994352337],[187.10245050414562],[84.74918135729794],[236.17019267778574]
RADAMES,3,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ... 36 21  2]
 [ 0  0  0 ...  5 20 90]]","[409.2154846191406, 208.561279296875, 0.825631320476532]","[357.5530700683594, 315.0720520019531, 0.1776842325925827]","[300.1503601074219, 300.6786804199219, 0.2934125065803528]","[373.33880615234375, 469.080810546875, 0.16746273636817932]","[277.1893005371094, 437.4154968261719, 0.548988401889801]","[412.08563232421875, 566.95556640625, 0.4333353638648987]","[281.4944763183594, 575.591552734375, 0.6419769525527954]","[376.2089538574219, 577.0308837890625, 0.11947906762361526]","[331.72186279296875, 578.47021484375, 0.13740293681621552]","[367.5985412597656, 779.97705078125, 0.1900978684425354]","[354.6829528808594, 768.46240234375, 0.26213744282722473]","[341.7673034667969, 977.1658935546875, 0.25966906547546387]","[191.0852508544922, 898.00244140625, 0.22575046122074127]","[328.8517150878906, 307.8753662109375]","[353.96539306640625, 577.7505493164062]",[128.9793695383706],[84.68355792661383],[84.14768053058586],[68.40229304510777],[99.53226480659532],[88.21540260527566],[92.42943542509533],[97.46310547667065],[83.10906257028867],[141.62709146082094],[135.70418838824324],[250.07133626511344],[164.2546125145219],[85.45592054112291],[168.68313779868035],[274.2825298693963],[185.0336700515753],[84.96215955521718],[238.51802889053226]
RADAMES,4,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 2]
 [0 0 0 ... 0 1 1]]","[426.20623779296875, 209.36734008789062, 0.7005947828292847]","[375.8099365234375, 313.0411071777344, 0.19631314277648926]","[316.7742614746094, 298.6419982910156, 0.2479376643896103]","[398.8482666015625, 461.35223388671875, 0.17536777257919312]","[293.7359313964844, 438.3136291503906, 0.6066378355026245]","[452.1243591308594, 560.7062377929688, 0.46055176854133606]","[299.4955139160156, 572.2255859375, 0.826713502407074]","[393.08868408203125, 565.0260009765625, 0.12691573798656464]","[351.33172607421875, 572.2255859375, 0.14607983827590942]","[365.73065185546875, 766.6138916015625, 0.25123000144958496]","[400.28814697265625, 755.0946044921875, 0.3353010416030884]","[341.25244140625, 978.28125, 0.23189812898635864]","[234.70025634765625, 914.9251098632812, 0.2111508548259735]","[346.2921142578125, 305.841552734375]","[372.210205078125, 568.6257934570312]",[129.63654931786678],[84.36720424430031],[81.17036530904448],[61.798681802611725],[99.36639436645923],[87.53721387499847],[97.72854647335099],[96.59665079170597],[75.01262490295808],[136.01358579604778],[134.73065492643352],[247.46324748336784],[160.62831649356724],[85.6592901775829],[168.1708195085392],[287.5110993385912],[178.868104318355],[84.7951777681983],[241.00096089308968]
RADAMES,5,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[443.1926574707031, 208.9271240234375, 2.159332513809204]","[391.3895263671875, 309.5870361328125, 0.1829645186662674]","[339.58642578125, 295.2070617675781, 0.19485710561275482]","[414.41314697265625, 450.5109558105469, 0.20880058407783508]","[312.2458801269531, 434.6929931640625, 0.5992376208305359]","[486.3619079589844, 546.8568725585938, 0.6643026471138]","[316.56280517578125, 568.4268798828125, 0.5163159966468811]","[397.14544677734375, 564.1129150390625, 0.05711966007947922]","[371.243896484375, 565.5509033203125, 0.08604935556650162]","[359.7320861816406, 771.1846923828125, 0.2000160813331604]","[434.5588073730469, 745.30078125, 0.34751656651496887]","[351.0982360839844, 969.6286010742188, 0.17147065699100494]","[299.29510498046875, 932.2406005859375, 0.1368212103843689]","[365.48797607421875, 302.39703369140625]","[384.1946716308594, 564.8319091796875]",[129.73788754490252],[85.92277927403156],[80.72120712304798],[53.24852913031057],[101.0899109994032],[88.1511362912169],[100.24160900729886],[92.49123994824404],[70.59575016580811],[125.88830190498206],[136.18489172912905],[245.20710307895865],[152.5273220072626],[85.57586963239731],[167.06122529181374],[283.4192631216892],[172.2496309409452],[73.77340428019846],[235.29255173917394]
RADAMES,6,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [1 2 3 ... 0 0 0]
 [2 1 1 ... 0 0 0]
 [0 5 1 ... 0 0 0]]","[460.2711181640625, 209.58566284179688, 1.8204221725463867]","[405.5735778808594, 311.6828918457031, 0.15690115094184875]","[352.3154296875, 303.0549621582031, 0.19419987499713898]","[435.8011474609375, 448.2918701171875, 0.2959508001804352]","[327.845458984375, 436.7879333496094, 0.5928944945335388]","[519.2869262695312, 533.1332397460938, 0.5959683060646057]","[333.60308837890625, 576.2728881835938, 0.6239065527915955]","[383.982421875, 569.0829467773438, 0.04952298104763031]","[389.74005126953125, 563.3309936523438, 0.09938251972198486]","[362.39129638671875, 781.9053344726562, 0.25564661622047424]","[463.14996337890625, 740.20361328125, 0.367737352848053]","[330.7242736816406, 977.4718627929688, 0.11542043834924698]","[358.07305908203125, 931.4561767578125, 0.15187464654445648]","[378.94451904296875, 307.3689270019531]","[386.8612365722656, 566.2069702148438]",[129.7503868062314],[88.24812020284635],[77.52315326004961],[45.46141073753],[100.36906793956935],[87.63629922937257],[95.79291600311063],[99.19776087651923],[67.45940142315537],[118.78502549953139],[138.49773339661496],[248.32105993160263],[147.9382574774804],[91.16698497652686],[167.26723128980322],[140.76465900416218],[183.4048448734086],[292.4311444242069],[231.32562407637602]
RADAMES,7,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [16 80 14 ...  0  0  0]
 [76 48  1 ...  0  0  0]
 [41 33 60 ...  0  0  0]]","[479.87164306640625, 212.39486694335938, 1.430100679397583]","[419.5298767089844, 311.6380310058594, 0.1357417106628418]","[376.4286193847656, 298.6932678222656, 0.22873112559318542]","[456.8843078613281, 446.8388671875, 0.4625980257987976]","[344.821044921875, 438.2090148925781, 0.5274682641029358]","[550.2703857421875, 525.9456787109375, 0.7346710562705994]","[353.4412841796875, 574.84814453125, 1.0032800436019897]","[399.41595458984375, 574.84814453125, 0.07719650119543076]","[405.1628112792969, 563.3416748046875, 0.1626335233449936]","[376.4286193847656, 777.6493530273438, 0.26259225606918335]","[491.3653259277344, 737.376708984375, 0.4023020565509796]","[336.2007751464844, 973.2590942382812, 0.20681044459342957]","[412.3463134765625, 955.9993896484375, 0.20249737799167633]","[397.979248046875, 305.1656494140625]","[402.28936767578125, 569.0949096679688]",[131.43610263024357],[89.06440947779895],[74.5551383011006],[40.26774415548925],[102.76499469266437],[86.39012897491679],[96.46682421205611],[101.62105890791197],[63.65000260585563],[109.87188988433601],[137.6283068475554],[237.83835098359936],[145.71260585438864],[86.04820737516314],[163.62513428225245],[159.92730807933538],[185.15423469585588],[307.1102432285927],[226.22188727848038]
RADAMES,8,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [32  3 61 ...  0  0  0]
 [ 1  1  2 ...  0  0  0]
 [42  1  1 ...  0  0  0]]","[496.01019287109375, 213.84246826171875, 2.456890344619751]","[437.0263671875, 313.17132568359375, 0.1736762672662735]","[395.30609130859375, 300.21539306640625, 0.2671612799167633]","[485.9398193359375, 458.5657653808594, 0.4336935877799988]","[363.65625, 441.29119873046875, 0.7013651132583618]","[580.889404296875, 519.0267944335938, 0.43788981437683105]","[375.165283203125, 576.6087646484375, 0.7540003061294556]","[411.1310119628906, 573.7296752929688, 0.10135635733604431]","[424.0787048339844, 563.65283203125, 0.15157125890254974]","[380.9197998046875, 772.3873901367188, 0.30281534790992737]","[508.9578857421875, 734.9591064453125, 0.44162479043006897]","[337.7608947753906, 973.9242553710938, 0.22488494217395782]","[485.9398193359375, 975.36376953125, 0.242544025182724]","[416.1662292480469, 306.693359375]","[417.6048583984375, 568.6912841796875]",[130.6927631291244],[89.68539235470996],[71.40608258373105],[32.487753404250604],[102.64473144113069],[85.1385775772779],[98.64709856976758],[102.0872640427506],[63.64241124882033],[95.46923635393182],[138.99262922558557],[234.15427562575792],[141.08167082051958],[85.39292448315756],[162.49384613614723],[136.53959865736118],[183.44016547298304],[281.535247749888],[211.8268251051115]
RADAMES,9,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  2   2   1 ...   0   0   0]
 [ 20  61  75 ...   0   0   0]
 [  2  60  34 ... 120  31   2]]","[514.0169677734375, 217.3231964111328, 1.5905123949050903]","[456.5845642089844, 316.6595153808594, 0.19868285953998566]","[413.5102844238281, 303.7026062011719, 0.3029773533344269]","[498.2230529785156, 454.8666076660156, 0.3630957305431366]","[386.22991943359375, 444.7890319824219, 0.995650589466095]","[601.601318359375, 511.01324462890625, 1.1004724502563477]","[394.8447570800781, 578.6771240234375, 0.8456176519393921]","[429.3041687011719, 572.9185180664062, 0.11613477766513824]","[443.66229248046875, 562.8408813476562, 0.18952712416648865]","[387.6656799316406, 781.6688232421875, 0.40023332834243774]","[529.8108520507812, 747.1170043945312, 0.44042953848838806]","[338.8481750488281, 976.0224609375, 0.2736285924911499]","[545.6047973632812, 978.9019165039062, 0.4018263816833496]","[435.04742431640625, 310.1810607910156]","[436.48321533203125, 567.8796997070312]",[130.37899060808525],[89.68077474300075],[73.23370312875456],[28.507198623637397],[100.94361662521848],[86.31846011986418],[101.28048398416017],[104.09979073619405],[64.94404587795154],[86.10186131183188],[139.30178413491552],[236.49221394466673],[135.27349549488284],[84.20212744113067],[165.3748434946457],[136.3446747845584],[182.8193067520339],[280.00812214987997],[201.15781543388036]
RADAMES,10,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  1   3   1 ...   1   0   2]
 [  3   2   9 ...   2   2   2]
 [  1  10  72 ...   1  87 165]]","[532.1512451171875, 217.9193572998047, 2.4016120433807373]","[477.4962463378906, 324.34002685546875, 0.18845367431640625]","[437.22418212890625, 311.39697265625, 0.3914043605327606]","[516.330078125, 455.2086486816406, 0.6026022434234619]","[408.4583740234375, 452.3324279785156, 1.214187502861023]","[628.5166625976562, 514.1714477539062, 0.8950510025024414]","[422.8412780761719, 590.3916015625, 1.0533267259597778]","[453.0453796386719, 578.88671875, 0.11801421642303467]","[467.42822265625, 565.943603515625, 0.2036570906639099]","[395.5137939453125, 781.6611328125, 0.40730711817741394]","[540.781005859375, 752.89892578125, 0.4175882637500763]","[339.4205017089844, 975.8069458007812, 0.31224867701530457]","[601.1891479492188, 975.8069458007812, 0.33507654070854187]","[457.3602294921875, 317.8684997558594]","[460.23681640625, 572.4151611328125]",[126.80716805100063],[89.35253806484398],[73.47232034915113],[27.725427343558817],[101.53597504394673],[84.05242252634532],[105.83981206635825],[106.11524974297434],[68.5772111042901],[74.83701916574468],[142.54537001384335],[235.65540187761775],[134.25310699440772],[83.71908186779866],[162.51644748239858],[147.82378700397535],[180.2754376766161],[290.5613069392625],[186.2598080614546]
